# %ECSV 0.9
# ---
# datatype:
# - {name: logM (log(M_sol)), datatype: float64}
# - {name: logM_initial (log(M_sol)), datatype: float64}
# - {name: R_disk (kpc), datatype: float64}
# - {name: R_disk_initial (kpc), datatype: float64}
# - {name: Rho_dc (M_sol/pc^3), datatype: float64}
# - {name: Rho_dc_initial (M_sol/pc^3), datatype: float64}
# - {name: R_halo (kpc), datatype: float64}
# - {name: R_halo_initial (kpcx), datatype: float64}
# schema: astropy-2.0
"logM (log(M_sol))" "logM_initial (log(M_sol))" "R_disk (kpc)" "R_disk_initial (kpc)" "Rho_dc (M_sol/pc^3)" "Rho_dc_initial (M_sol/pc^3)" "R_halo (kpc)" "R_halo_initial (kpcx)"
11.117832479469936 10.353951647911828 4.95544026210397 0.6912622583739365 0.007500398553727662 0.0001 4.955440279806855 4.454801220632035
11.035928809124075 10.353951647911828 5.107657018895213 0.6912622583739365 0.009900724282224755 0.0001 22.08742007848861 15.74541810740633
11.362997592556617 10.353951647911828 7.953628894629163 0.6912622583739365 0.00750865414133316 0.0001 23.53355531178013 23.272496031922525
11.129069747420331 10.353951647911828 5.6056203792382355 0.6912622583739365 0.006404835943231883 0.0001 27.176338796611976 27.03603499418062
11.177978537576134 10.353951647911828 5.916214644421516 0.6912622583739365 0.004952226063849633 0.0001 30.916214559013596 30.79957395643872
11.189516723720754 10.353951647911828 5.903418819338012 0.6912622583739365 0.004029552551781811 0.0001 34.65658568127856 34.563112918696824
11.393956651415051 10.353951647911828 8.210822491885365 0.6912622583739365 0.006602390652775593 0.0006210526315789474 24.825142128060264 23.272496031922525
11.148450220997956 10.353951647911828 5.718047944692332 0.6912622583739365 0.006078217497250057 0.0006210526315789474 27.837854503617528 27.03603499418062
11.175567393214187 10.353951647911828 5.873558959832933 0.6912622583739365 0.00480115295446769 0.0006210526315789474 31.469880188516395 30.79957395643872
11.176982928802616 10.353951647911828 5.802309673223923 0.6912622583739365 0.003966045513279505 0.0006210526315789474 35.08249886950681 34.563112918696824
11.352030426869817 10.353951647911828 7.900088539272863 0.6912622583739365 0.007974315440983945 0.0011421052631578948 22.92324942878013 19.508957069664426
11.109420411125043 10.353951647911828 5.558973142076439 0.6912622583739365 0.007546037103185803 0.0011421052631578948 24.994968006899246 23.272496031922525
11.143912997050329 10.353951647911828 5.688405141144193 0.6912622583739365 0.0058563197310968875 0.0011421052631578948 28.42055557723046 27.03603499418062
11.17736551501061 10.353951647911828 5.879574086727592 0.6912622583739365 0.0046819020397808764 0.0011421052631578948 31.902746963412966 30.79957395643872
11.206266204812586 10.353951647911828 6.0592397668364475 0.6912622583739365 0.003843232164840014 0.0011421052631578948 35.47918263236562 34.563112918696824
11.27714418714692 10.353951647911828 7.034257590609913 0.6912622583739365 0.003921187273139063 0.0016631578947368423 23.621582621718886 19.508957069664426
11.111136623774028 10.353951647911828 5.519723202676573 0.6912622583739365 0.0072086174152099615 0.0016631578947368423 25.631622985581295 23.272496031922525
11.142818508129983 10.353951647911828 5.665749127269728 0.6912622583739365 0.005696198099050485 0.0016631578947368423 28.85325150977337 27.03603499418062
11.214853662259399 10.353951647911828 6.1269079621638465 0.6912622583739365 0.0037680044314440846 0.0016631578947368423 35.814145640192436 34.563112918696824
11.295433297431844 10.353951647911828 7.228337081344075 0.6912622583739365 0.0048894233342513995 0.0021842105263157894 22.758655436356484 8.218340182890133
11.082870151875904 10.353951647911828 5.41962815128973 0.6912622583739365 0.008758815428148064 0.0021842105263157894 23.305290548452472 19.508957069664426
11.133882580912225 10.353951647911828 5.714922681208409 0.6912622583739365 0.006725495583319671 0.0021842105263157894 26.245346651177393 23.272496031922525
10.991093330021233 10.353951647911828 4.86220755260837 0.6912622583739365 0.009583258293103348 0.0021842105263157894 35.733173907625265 34.563112918696824
11.4038852474214 10.353951647911828 8.305984591646185 0.6912622583739365 0.006076053927013778 0.0027052631578947366 25.80108606831578 15.74541810740633
10.991473293955966 10.353951647911828 4.863675619909491 0.6912622583739365 0.009557540651171094 0.0027052631578947366 35.911942839020305 34.563112918696824
11.056513207377048 10.353951647911828 5.247465192692697 0.6912622583739365 0.009561204910661897 0.0032263157894736843 22.408492825667828 8.218340182890133
10.99179095984637 10.353951647911828 4.864902291015305 0.6912622583739365 0.009535953727417562 0.0032263157894736843 36.064464032102336 34.563112918696824
11.069568492322858 10.353951647911828 5.30746786365404 0.6912622583739365 0.008945384157083876 0.0037473684210526316 23.120374087195582 4.454801220632035
10.992062297256856 10.353951647911828 4.865954902746231 0.6912622583739365 0.00951768944905793 0.0037473684210526316 36.194177390916465 34.563112918696824
11.137775464251988 10.353951647911828 5.6847558629104915 0.6912622583739365 0.006431712092054045 0.004268421052631579 27.072199049720552 4.454801220632035
11.158932295410576 10.353951647911828 5.794704874197923 0.6912622583739365 0.005910987420100885 0.004268421052631579 28.19574199380686 8.218340182890133
10.992293218163667 10.353951647911828 4.86687127113388 0.6912622583739365 0.0095024410915264 0.004268421052631579 36.30393466001451 34.563112918696824
11.161612385129791 10.353951647911828 5.800587444164072 0.6912622583739365 0.005365630683040064 0.004789473684210527 29.68984348305655 4.454801220632035
11.164217211496297 10.353951647911828 5.772830002744065 0.6912622583739365 0.005259620977350076 0.004789473684210527 29.999832852877223 8.218340182890133
10.985896939472543 10.353951647911828 4.843615946378985 0.6912622583739365 0.009980903352214816 0.004789473684210527 33.10286930907469 30.79957395643872
10.992458142244757 10.353951647911828 4.867484056384528 0.6912622583739365 0.00949027845442842 0.004789473684210527 36.39592708266766 34.563112918696824
