galaxy_ID,Mb,Md,Mh_r90,Mh_2r90,Mh_3r90,M_HI,M_HII,Mtot_r90,Mtot_2r90,Mtot_3r90,NSA_Mstar,M_h1,M_h2,Mtot_(star_HI_Hii)
10001-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2685340000.0,nan,nan,nan
10001-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4642460000.0,nan,nan,nan
10001-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9439710000.0,nan,nan,nan
10001-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4218380000.0,nan,nan,nan
10001-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9651730000.0,nan,nan,nan
10001-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1378800000.0,nan,nan,nan
10001-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11365900000.0,nan,nan,nan
10001-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5164150000.0,nan,nan,nan
10001-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7120350000.0,nan,nan,nan
10001-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3108960000.0,nan,nan,nan
10001-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17174900000.0,nan,nan,nan
10001-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96716800000.0,nan,nan,nan
10001-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18648300000.0,nan,nan,nan
10001-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31737100000.0,nan,nan,nan
10001-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99188900000.0,nan,nan,nan
10001-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3791750000.0,nan,nan,nan
10001-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,55367000000.0,nan,nan,nan
10141-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10141-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
