galaxy_ID,A,Vin,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
8256-12703,-0.39046226240495674,0.13753881410487348,2274.098337454052,0.8476781897178969,-6.9999498390793615,0.10004507763137996,1.3696837920162703,1.3803223575099353,46.99995965303999,46.81359028783616,7.703151845740433,2840.522565310782
8256-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-6101,-0.13183547721345837,3.5366035239581275,1586.4695490290446,15.804321126725688,-3.6828976315341215,1.2808180505794846,0.5896848694873001,2.335690218629172,28.233022940097147,29.91398723236427,11.475133858032821,64.21017401914459
8256-6102,-0.08285713663725769,9.132975189428684,322.4107394204427,15.72538814235192,-6.9999492377333565,1.652891917214788,0.10005060494930516,3.5082155709628178,37.999959653039994,31.35504923777745,-6.022949875077341,335.09757708358933
8256-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8256-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8257-12701,0.7755634241408637,0.44041529555174136,614.7830123867778,3.4883521626987615,-0.5680314782841138,6.22455822604233,0.2211528685103219,4.941399749359479,40.509376035126785,41.39310470267579,32.762603500449686,714.7530569846961
8257-12702,0.914402564488571,0.2469260494864803,994.9888162417227,10.602229495154775,-2.089780997403963,999.9999999971712,0.5041111931252971,2.9133216192993343,39.765595621396606,37.27805312681311,-3.2200359218209105,215.10683256574205
8257-12703,-0.02835580596503749,4.818498556487226,733.8190808997243,1.5721013350079307,-0.1553634700907936,29.719181416636236,0.5041374595209867,2.7970881218716817,46.99989606355159,33.602864909085994,0.16892933940903276,6460.828168411448
8257-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8257-12705,0.9386779260561366,2.646490406116118,2999.9516777490644,29.88520895528674,0.8405732215779312,0.9843133359860892,0.10248782754869316,6.3605836122729915,37.84209643228758,41.181649881626946,41.514223187607215,1874.620637908892
8257-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8257-1902,-0.37972500541109344,0.6482879998352534,360.0367633889241,29.999965683373667,-6.99994977887199,0.10004506759424658,0.1390292462734315,3.7425310742247797,19.130756682253985,22.720933457071908,26.151616434616372,5511.635972517603
8257-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8257-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8257-3703,0.1967243717958693,1.0417934142306922,2999.99999878702,1.0708661562007815,0.1391368509908788,0.47602357775062754,0.5844134932167756,2.707406018809013,24.81452372287056,21.886038653661675,-0.5596781452927478,193.46341675539006
8257-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8257-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8257-6102,-1.3013264670852949,0.44778847459043974,917.2626414487206,2.6518168991247415,0.39442332055092993,0.1695976828773089,0.5007324267711665,1.8770333092631848,27.3505275153001,26.86019215231959,-1.5708283926720787,14.566050728072158
8257-6103,0.9932776278149892,1.8215072536239074,1984.9423571289637,24.633481506725982,-1.3921584368947597,54.6932461410802,0.15649753395894397,5.499699297803331,26.129076355736892,25.81742073023376,0.4412488779082587,15.99977952478137
8257-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8257-9101,-0.4104362947522284,3.6477775322373933,1021.8809356707621,13.243504312507877,-1.9491967684641298,1.2704200781087747,0.5829491859841464,1.699323071542384,33.30413089963969,33.50426552052944,1.994333907419442,202.40594677997072
8257-9102,0.7679851976668215,0.6575843396324756,0.10001134993184317,29.99997393411115,-1.2573883465088884,0.4252468357438622,0.9078461775379578,1.3436296093366158,31.047175631743197,32.41145363000952,20.89898815343959,1305.7014424144802
8258-12701,0.2789652206631366,2.2456859536034166,2999.9999454230738,18.49643214552253,0.4622862035291342,0.845050507380977,0.15876769307635605,5.125974620329944,35.12447113409024,36.36066290946544,-21.71239834403214,41.610852973155076
8258-12702,-1.4776444454001285,0.5440854360958631,1316.700031803595,8.072510944765124,-6.996196228189489,0.10010592993134193,0.5955848960187652,2.1180604488769803,36.63147919259866,36.62292751835451,8.476161733954818,78.84931434267325
8258-12703,-1.7579641909700878,7.342765267449615,1038.942128733419,5.203278324410698,-6.999909220791819,4.370474778117767,0.7555148450109069,3.9730724212376813,36.682120349127864,35.16329587293883,11.661551595941514,178.01635899573105
8258-12704,0.9814207280318904,5.666636072990819,0.1332732011981436,29.99999999716127,1.7339500210130299,0.3157943499441121,0.13398989472374614,5.149267586332301,38.16434924308524,40.85786047785022,43.112719659635054,176.99820358937612
8258-12705,0.694723807047885,0.6928397367997181,1012.5140244724686,18.32863996711823,-0.6995356473801653,8.093129913216288,0.3569989919713806,5.930263266858309,37.56799658132403,36.26555471923534,6.3263883968643535,40.39102273636531
8258-1901,0.7215324495746227,0.5593652014595273,837.7665436910156,1.3630227827625152,-0.15569491114900935,0.8043348038387709,0.39010458005683024,2.653321106576125,16.383433785992327,17.409494318733294,-1.1209167885512112,18.05060822735607
8258-1902,0.7842872258644179,0.4869553329647009,89.83623191575397,15.035459446776175,-0.15017641266199488,0.1547451070049399,0.7293181994965222,4.189433001642674,17.20685295544207,16.88449339434952,13.696003217399806,11.50704037857514
8258-3701,0.6610075724793965,0.3553199703965686,2346.853245676256,14.609964942839731,-2.3603858969671254,1.86563581785683,0.4792012771782597,0.9341176898979331,21.273686946325896,20.90148104052901,4.475696536424251,86.4681404201057
