galaxy_ID,r90,r_max
10001-12701,9.852487564086914,7.414716469990778
10001-12702,14.355437278747559,9.244566531149456
10001-12703,14.743389129638672,10.785287821124667
10001-12704,33.156402587890625,5.736268868705308
10001-12705,12.379983901977539,10.226794547803987
10001-1901,5.707961082458496,8.288793077021474
10001-3702,13.263102531433105,3.597696663165398
10001-3703,6.644127368927002,5.287748711778613
10001-6102,15.942649841308594,9.179390313764266
10213-12702,12.861767768859863,6.708003387088291
10213-12703,16.72977638244629,8.129170622074462
10213-12705,24.491958618164062,36.84507903371649
10213-1902,19.216617584228516,5.5275385074285674
10213-6103,18.969200134277344,8.79035674492291
10213-9101,19.195798873901367,4.848638175620015
10213-9102,18.453237533569336,2.686340928584832
10214-12701,29.03072166442871,8.86099193926669
10214-12703,29.132741928100586,7.819248495331404
10214-6103,19.674102783203125,3.1668429564455103
10214-6104,17.51658821105957,6.504215540482674
10214-9102,11.332554817199707,33.72245391138936
10215-12702,10.562400817871094,9.173291064870496
10215-12703,26.41735076904297,11.219591152325846
10215-12704,25.11236572265625,7.93642991753328
10215-12705,19.45252799987793,18.784050744174223
10215-1901,7.161678791046143,1.8615218383215213
10215-1902,5.081458568572998,5.267522864181056
10215-3701,9.958691596984863,2.7805722438337823
10215-3702,15.70554256439209,5.1039900848495785
10215-3703,10.887801170349121,4.339191430465348
10215-6104,9.300808906555176,13.742542713025072
10215-9101,9.281583786010742,5.897821364334437
10216-12701,13.194493293762207,6.1603899181030375
10216-12702,25.586795806884766,12.400750867283133
10216-12703,14.91884994506836,8.040188323748106
10216-6101,15.727636337280273,7.004111138562601
10216-6102,16.693021774291992,7.422397931487308
10216-6103,7.835508346557617,7.143627647428912
10216-6104,22.268774032592773,7.099575354613879
10216-9102,11.307080268859863,11.57033291466129
10217-12701,15.439337730407715,11.673599602486451
10217-12702,14.59179401397705,10.2154862584223
10217-12705,21.733671188354492,11.947607212779147
10217-3701,7.6390485763549805,6.379613661404492
10217-3704,7.9390058517456055,7.515458335448027
10218-12701,11.943232536315918,10.005003183171699
10218-12702,31.446914672851562,7.974198248418362
10218-12705,24.822359085083008,4.320838719193566
10218-1901,5.63979959487915,2.1924823408929717
10218-3701,8.085277557373047,6.1360290988669925
10218-3703,13.02869987487793,12.333549001351557
10218-3704,11.446887969970703,3.8123396100381197
10218-6102,13.825362205505371,4.171442808910045
10218-9101,20.132295608520508,3.80616541766066
10218-9102,17.301395416259766,2.8127863195422593
10219-12701,32.53722381591797,4.986971661687121
10219-12702,17.832759857177734,5.162701349410371
10219-12703,22.121034622192383,42.28732241941522
10219-12704,-9999.0,10.285573745934785
10219-12705,24.57366943359375,5.505630363083492
10219-6103,14.104201316833496,4.278025695652029
10219-6104,12.446319580078125,3.896211376330967
10219-9101,14.583284378051758,5.0618914085016105
10219-9102,23.16202163696289,6.847621930874921
10220-12701,24.057260513305664,4.303031190460882
10220-12702,24.273719787597656,19.007511971953218
10220-12703,17.812768936157227,7.623936620327582
10220-12704,9.386651039123535,8.768303614538231
10220-12705,22.528318405151367,12.396236884584388
10220-3701,6.556093215942383,5.048300087246309
10220-6103,17.158607482910156,5.950102363693888
10220-6104,12.651718139648438,6.097495830397388
10220-9101,16.819217681884766,10.59342320389886
10220-9102,17.953853607177734,12.999973602648053
10221-12701,15.424158096313477,21.28401682305761
10221-12702,41.54155731201172,5.1491182390345305
10221-12703,21.0483341217041,3.90568066583156
10221-12704,29.60074234008789,2.6760287728867045
10221-12705,26.699800491333008,3.4585417611542555
10221-1902,8.911840438842773,3.505594839690981
10221-3701,6.976042747497559,5.147009600773923
10221-3704,6.004887104034424,4.688397950230299
10221-6101,13.184797286987305,6.028774550373725
10221-6102,8.578831672668457,15.449148838712745
10221-6103,12.89502239227295,8.22641447827648
10221-6104,16.183834075927734,3.369838714623086
10221-9101,15.517882347106934,7.922605409789296
10222-12701,29.959999084472656,5.0014140362145
10222-12702,18.999073028564453,26.25703684414379
10222-12703,10.95050048828125,4.681776668798983
10222-12704,13.137179374694824,17.11956280158637
10222-12705,14.81309986114502,16.519409504907347
10222-3701,31.845487594604492,7.359678173080118
10222-3704,18.94623374938965,45.07266808377201
10222-6102,26.283321380615234,3.997123738595116
10222-6103,20.419166564941406,10.281423668235307
10222-9101,9.336836814880371,5.599131393955403
10222-9102,16.512521743774414,3.7884641715454435
10223-12702,15.47356128692627,10.257891816823529
10223-12703,14.279022216796875,11.47234961852813
10223-12704,20.12811851501465,4.656648129218767
10223-12705,15.261943817138672,10.429684812324973
10223-1902,8.039423942565918,1.912187722982777
10223-3703,12.063647270202637,3.8074076218973665
10223-6101,13.961517333984375,3.1991813918173353
