galaxy_ID,A,Vin,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
7443-1901,9.004456327525075,1.065506156155958,0.21216652166275193,18.05929908413094,4.097906787648251e-05,0.10004507835739253,0.10407466535204048,4.167723088887593,14.790238201168117,16.083596168273754,-4.620275596375458,6.776492253269614
7443-1902,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7443-3701,90.7551555306453,0.12718541332136024,157.77663293185506,10.855802263348812,0.0006011636047446845,306.01336761376933,0.618050361387914,2.887427683581338,29.25298521946406,11.611038573622485,30.41797437613124,40.527384241538726
7443-3702,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7443-3703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7443-3704,99.99945387700747,3.7851480997198364e-05,3265.4272503091534,26.045231448037644,0.09588764139204091,1.1162942601296288,0.46104095704450426,0.9585049751343991,24.42161695172038,21.736452791631347,-19.910769689381837,15.360268058665639
7443-6101,7.798628732639202,0.6187953960618554,2527.5496068005505,9.08421700833758,1.0000104615008191e-06,0.16097684128858594,0.5432507000852562,2.430734334217583,29.52086373375616,14.000040346960025,72.51739855620595,55.71766685548391
7443-6102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7443-6103,0.2326552105646452,3.186505265825937,25.969492509611204,11.206806226881127,0.0004377103328864794,250.27336835079166,0.6078053338361249,3.522013659674762,23.25423841749845,30.79860199012256,-34.28514455629201,209.0926682403826
7443-6104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7443-9101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7443-9102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7443-12701,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7443-12702,99.99907711186367,4.924595494956376e-05,474.09669189535094,7.754556599241054,4.098262095506771e-05,0.17391865620868688,1.0579075602630508,2.560087549252828,48.84113355569116,28.000030188379252,46.53480162368471,147.29278309771428
7443-12703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7443-12704,99.9999528758293,0.7675923925310546,9999.99996262385,5.596022875522625,0.0020967278941379426,999.9998731283932,0.1000506049488796,2.8680023591894943,14.00004018834803,44.937017069698214,-14.435295712576048,3314.5473971004153
7443-12705,1.6883805758673631,4.286244751627974,9999.999962623846,29.99994786706345,0.008468675841479775,999.9999999873105,0.10071854719970053,0.7298977002165462,36.951701682449006,38.54293970396509,14.515437698886346,117.60672704760977
7495-1901,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7495-1902,99.99994636557844,0.6051887989240277,9999.999700469807,9.434903643459009,4.097967662055811e-05,259.01434687783876,0.1000506049488796,3.637629489229786,25.99994391911391,22.98187271283158,1.1182551819536926,166.50506929639477
7495-3701,99.99999783953552,2.4170140636167504e-05,3251.6056850214813,26.355367040184362,4.093946270266606e-05,0.10055792743567286,0.6143878817150448,2.8004782532178587,32.38855508305953,16.038142919635813,40.139126374405194,827.8371823106228
7495-3702,0.903030658397844,1.2439670427526985,2690.3129760515203,27.4743743810742,0.0008566891856522358,43.40218065779446,0.5099366778228067,3.9341699038384665,21.516110773689196,21.4990698630592,1.6861084496777503,4.890089273927226
7495-3703,0.11502752460651336,3.7649971493826864,0.11766771248156116,29.999999999866347,0.003264804699201585,218.97827921638935,0.6768293231991915,2.738993889823414,17.582543059777837,32.46754114041686,-72.31289331005617,51.480089628537016
7495-3704,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7495-6101,99.9999463655441,0.6505509852581365,8496.29842834637,29.99995071877287,4.097967662055811e-05,0.10004507763156857,0.10005060492720055,2.6432975357466804,14.0000402816718,40.77357923699049,-14.36394177239368,592.7839135907936
7495-6102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7495-6103,8.630828821701731e-06,7.122615791697079e-05,81.07771115408589,21.590062266190824,0.00027822556206642395,355.80878401083373,0.5589517434848998,3.121975678228813,16.342312572632405,37.6645146461497,-39.43391441103991,1.80927991132965
7495-6104,3.723318479421337e-05,4.999999954530086,9999.909438035866,7.238275488978651,0.09769543913391471,81.58455386416594,0.1067042501161697,1.264581291439554,29.181555109258685,38.513342002749816,13.111405389843986,5.097532383465974
7495-9101,1.904455694875934,0.5357212773185125,9656.637389638532,2.744188479465006,3.764233925539137e-05,0.10003358852832005,0.10689598778738538,4.265262642314299,30.814616511836483,32.7639374635676,-12.793538705954766,2.872976989916613
7495-9102,1.0158223455125543,3.3062064512191363,424.6446840124177,2.621502713590092,3.952717436589277e-05,0.10285053788997342,0.6031999322789763,2.170715352727852,34.057799423367406,22.390301332648946,70.0071882672535,14.502007463315536
7495-12701,49.38374113697275,1.050432188207415,9994.943394209547,29.999999999998007,0.09611846621931204,78.27107342356948,0.12782320414141352,5.5551055079814065,6.709246350781057,41.99995965303999,77.12803188747628,20.178705586094164
7495-12702,56.52814604866694,0.806527629056888,0.10003737615331802,29.99996525562962,4.097967662055762e-05,0.10005141846814136,0.1000506049488796,3.637885135457775,28.00004034696001,60.99995965303999,-19.971597309483645,8249.419336175333
7495-12703,0.5484270209353693,4.999954624236934,1478.1054991807885,20.260420498097908,0.0002184717474896505,892.9245269655265,0.3458287738776477,0.29288113961989143,24.765026038476414,28.99999999999997,-24.208425608558684,495.55750495247497
7495-12704,13.942164780096316,1.9530008620065322e-05,9999.999962445454,15.669152437857848,0.009442392712359207,836.122039918394,0.155714832150504,6.131143091891364,36.593608163922845,25.99995965303999,-58.57861399592215,704.4081428754399
