# galaxy_ID smoothness DL_ttype DL_PLTG DL_Visual_Class
10150-9102 nan nan nan nan
10213-12701 2.560500508797269 -1.7995350360870361 0.01783174742013216 1.0
10213-12702 1.5817074533236228 5.753598690032959 0.998317152261734 3.0
10213-12703 1.809667600081271 3.9895615577697754 0.9970744252204895 3.0
10213-12704 2.586844790765571 -2.4318461418151855 0.014206720516085625 1.0
10213-12705 0.7079952451135839 4.424635410308838 0.9994072020053864 3.0
10213-1901 1.5990607027642645 -1.2208296060562134 0.017352663911879063 2.0
10213-1902 0.5532390190341367 6.017599582672119 0.9998538494110107 3.0
10213-3701 1.3688074643920067 -1.4436489343643188 0.026425558142364025 1.0
10213-3702 2.7614645209194215 -2.2850341796875 0.026831873692572117 1.0
10213-3703 0.5496771014774695 6.48707914352417 0.9993418157100677 3.0
10213-3704 2.854557655377095 -1.2406460046768188 0.003805069369263947 1.0
10213-6101 2.4720159196930176 -1.5160443782806396 0.016145051922649145 2.0
10213-6102 2.359505324868238 0.3344896137714386 0.25868043303489685 2.0
10213-6103 1.4979538645692894 1.8603888750076294 0.9152358770370483 3.0
10213-6104 2.5410911740280513 1.3038054704666138 0.17894110828638077 1.0
10213-9101 0.7389504591790726 3.2434632778167725 0.9986928403377533 3.0
10213-9102 1.904940452371203 3.660907030105591 0.977595180273056 3.0
10214-12701 1.123564705016121 5.626826763153076 0.998552680015564 3.0
10214-12702 2.345432554821359 -1.9881664514541626 0.030509505420923233 1.0
10214-12703 1.3390716461089995 3.972017526626587 0.9773830473423004 3.0
10214-12704 2.612196346758753 -0.8153025507926941 0.025745409540832043 1.0
10214-12705 2.544456817358613 -1.7142651081085205 0.00902085192501545 1.0
10214-1901 1.7272333931730122 -1.1253020763397217 0.06203150004148483 3.0
10214-1902 1.265750177846565 -3.066584587097168 0.0012069465592503548 1.0
10214-3701 nan nan nan nan
10214-3702 1.98986399499445 -0.3569340109825134 0.11988697201013565 2.0
10214-3703 2.6271640195151305 -2.732391119003296 0.006265285424888134 1.0
10214-3704 2.5661487007957384 -3.221808433532715 0.0026970148319378495 1.0
10214-6101 1.0593603118648374 1.7858502864837646 0.42890289425849915 3.0
10214-6102 2.563509910544899 -2.3618104457855225 0.016561600379645824 1.0
10214-6103 0.9731062366116432 4.716429233551025 0.9975911974906921 3.0
10214-6104 0.8269306891127596 4.60226583480835 0.9968866407871246 3.0
10214-9101 2.566986100669765 -2.517397880554199 0.006766808684915304 1.0
10214-9102 1.9567855677292623 1.1443276405334473 0.8490665853023529 3.0
10215-12701 2.1197810424573054 1.3902901411056519 0.43639539182186127 3.0
10215-12702 1.2239500768934417 5.747861385345459 0.9997844696044922 3.0
10215-12703 1.0499332711830762 6.535991668701172 0.9998753666877747 3.0
10215-12704 1.3410562540472044 0.42472001910209656 0.17437413334846497 3.0
10215-12705 0.7397189472996911 2.753629207611084 0.9750314950942993 3.0
10215-1901 0.7090142760613952 1.1379657983779907 0.1374100111424923 3.0
10215-1902 1.101190431423097 0.4512913227081299 0.1732725128531456 3.0
10215-3701 0.6052515458087532 6.884825706481934 0.9977090358734131 3.0
10215-3702 0.44945942183259496 1.0823113918304443 0.5495867133140564 3.0
10215-3703 0.9960246961943957 3.4099860191345215 0.9568242728710175 3.0
10215-3704 2.0589124413236073 -1.7951081991195679 0.035184381529688835 2.0
10215-6101 2.1169789711510334 2.97872257232666 0.9212867319583893 3.0
10215-6102 0.8255757307020483 2.3833606243133545 0.8448753952980042 3.0
10215-6103 2.029483381808727 2.0149037837982178 0.340525820851326 3.0
10215-6104 0.6737060546875 2.796405076980591 0.7983295321464539 3.0
10215-9101 1.8317556947188713 4.1238884925842285 0.9977409243583679 3.0
10215-9102 2.1534806478330943 2.2683863639831543 0.8257285952568054 3.0
10216-12701 1.5815341301915729 4.269219398498535 0.9891310930252075 3.0
10216-12702 1.225241268382353 5.032038688659668 0.9989381432533264 3.0
10216-12703 1.3692723460699479 3.962390184402466 0.9686091244220734 3.0
10216-12704 1.2261845550309705 0.07054996490478516 0.1864008978009224 2.0
10216-12705 1.3048416658072057 4.720372200012207 0.997006356716156 3.0
10216-1901 2.386780733889249 -1.1181623935699463 0.31503231823444366 2.0
10216-1902 2.6583615381833154 -1.9253488779067993 0.009896328672766685 2.0
10216-3701 2.2657159684508468 -1.201399803161621 0.010725751053541899 1.0
10216-3702 2.5150104391163794 -1.2783985137939453 0.0412464439868927 1.0
10216-3703 2.586000645638831 -1.7001144886016846 0.034109460189938545 2.0
10216-3704 1.408508134018528 -0.19278015196323395 0.2287949100136757 2.0
10216-6101 1.2576317749975625 0.5418051481246948 0.20849446207284927 3.0
10216-6102 0.46905082962461303 2.4160406589508057 0.9606691896915436 3.0
10216-6103 1.1692234222436941 2.056966543197632 0.7818574905395508 3.0
10216-6104 0.9403256135128217 4.009454250335693 0.9973077476024628 3.0
10216-9101 2.5897633999208862 -1.8343586921691895 0.0060141184367239475 1.0
10216-9102 1.5178140625 2.420717477798462 0.6426188349723816 3.0
10217-12701 0.9290390506494122 5.481154918670654 0.9999558329582214 3.0
10217-12702 1.6622529620691535 3.2511789798736572 0.9932941198348999 3.0
10217-12703 nan -0.08032675087451935 0.426167331635952 3.0
10217-12704 nan 1.2397422790527344 0.5487015545368195 3.0
10217-12705 0.6176513305572486 4.536076068878174 0.9975429475307465 3.0
10217-1901 1.52274169921875 -0.3991754651069641 0.2368142455816269 2.0
10217-1902 2.7922590429132637 -1.367526650428772 0.015917835757136345 2.0
10217-3701 0.784792602218668 3.124437093734741 0.950261801481247 3.0
10217-3702 1.6906153057042663 -0.42429032921791077 0.09612703323364258 2.0
10217-3703 0.4434800636911202 -0.237233504652977 0.01815253309905529 2.0
10217-3704 1.3257430381408608 0.6898295879364014 0.33038823306560516 3.0
10217-6101 2.678556983150653 -0.5251708626747131 0.04307782743126154 1.0
10217-6102 2.3346472937781533 1.7337349653244019 0.8150919377803802 3.0
10217-6103 1.6797447602911646 2.3469693660736084 0.7557797133922577 3.0
10217-6104 2.125190500681543 -1.279017686843872 0.008597917389124632 1.0
10217-9101 2.247392058911906 2.97860050201416 0.7888606786727905 3.0
10217-9102 0.7758110038364222 4.332529067993164 0.9649335741996765 3.0
10218-12701 1.5581750394266822 3.498302698135376 0.9878678619861603 3.0
10218-12702 0.7507618623621324 2.8179469108581543 0.9035823345184326 3.0
10218-12703 0.8915348138001485 4.801145076751709 0.9946112334728241 3.0
10218-12704 0.9771710379464286 5.404416084289551 0.9719309210777283 3.0
10218-12705 1.113144301808003 6.117745876312256 0.9987619519233704 3.0
10218-1901 0.6645619789143249 0.6350544095039368 0.03626107517629862 3.0
10218-1902 0.8037403424580892 -1.6885102987289429 0.0048068000469356775 2.0
10218-3701 0.7935512113255381 4.498951435089111 0.9951221942901611 3.0
10218-3702 2.4114143786935887 -2.9257278442382812 0.005378156900405884 1.0
10218-3703 0.6332248070996679 2.7643184661865234 0.7907311618328094 3.0
10218-3704 0.559671306221909 3.353245735168457 0.9375254809856415 3.0
10218-6101 2.4317028524709303 -1.380377173423767 0.024712029844522476 1.0
10218-6102 1.1311078307578064 0.7230545282363892 0.10421787574887276 2.0
10218-6103 0.8762726539789244 6.026365756988525 0.9991692006587982 3.0
10218-6104 1.6370047765463662 0.2619434595108032 0.14830736815929413 3.0
10218-9101 1.093471277087738 7.630819320678711 0.9996877610683441 3.0
10218-9102 1.2239056366743368 3.293285369873047 0.9160952866077423 3.0
10219-12701 0.8313377886721663 5.289000511169434 0.998322993516922 3.0
10219-12702 0.5891127684826696 4.509082794189453 0.9975255131721497 3.0
10219-12703 1.315560818911593 2.430025339126587 0.9950037598609924 3.0
10219-12704 1.1951772863589305 3.255488872528076 0.9346435964107513 3.0
10219-12705 1.4965578640019481 4.725240707397461 0.9978739321231842 3.0
10219-1901 2.8356572853750874 0.24018584191799164 0.08783161640167236 2.0
10219-1902 2.6803167992895776 0.3714330196380615 0.056269582360982895 2.0
10219-3701 2.6355259582687673 0.9376558065414429 0.11263224110007286 2.0
10219-3702 2.599110892406604 0.16046074032783508 0.06555202975869179 2.0
10219-3703 2.7744608591428306 0.6984989047050476 0.204465813934803 2.0
10219-3704 2.5823999935165975 -2.637220621109009 0.0059455991722643375 1.0
10219-6101 2.500478649630146 1.7493395805358887 0.505852997303009 3.0
10219-6102 3.006549429230585 -1.051450252532959 0.02042326144874096 1.0
10219-6103 1.2437443791877196 2.894258975982666 0.9969732463359833 3.0
10219-6104 0.8170741927287422 4.78114128112793 0.9937292337417603 3.0
10219-9101 1.056512661637931 4.908839225769043 0.992018073797226 3.0
10219-9102 0.3940953572591146 5.361542701721191 0.9987638592720032 3.0
10220-12701 0.9162124571600593 4.965468883514404 0.9889506995677948 3.0
10220-12702 1.3018624165489991 4.432612419128418 0.9961670935153961 3.0
10220-12703 1.234749343033309 5.037748336791992 0.9851885139942169 3.0
10220-12704 1.3488947088068182 1.3280705213546753 0.41140852868556976 3.0
10220-12705 0.37678158858000554 6.422508239746094 0.9999340772628784 3.0
10220-1901 0.743965724005771 -1.6164711713790894 0.010922564775682986 1.0
10220-1902 1.9187019162061738 -1.0967328548431396 0.03233659081161022 1.0
10220-3701 1.6257050058324185 1.9464828968048096 0.4552440643310547 3.0
10220-3702 1.1970417059740974 -1.4175113439559937 0.0616715494543314 2.0
10220-3703 1.571890539052535 -0.9361742734909058 0.007632737047970295 1.0
10220-3704 1.6150313994609273 -2.0861940383911133 0.00827505043707788 1.0
10220-6101 2.3017351583469132 -2.2989614009857178 0.014178054872900248 1.0
10220-6102 2.155987774884259 -1.932028889656067 0.01031632861122489 1.0
10220-6103 0.6248770180346808 1.6502324342727661 0.7501655220985413 3.0
10220-6104 1.0643054683034012 1.5333963632583618 0.9091125428676605 3.0
10220-9101 0.5843484477632365 2.0537734031677246 0.8435704112052917 3.0
10220-9102 0.9511340513067731 5.201833248138428 0.9913479685783386 3.0
10221-12701 1.160026429902523 3.5401875972747803 0.9355083107948303 3.0
10221-12702 1.30380915708155 4.212428092956543 0.9567400813102722 3.0
10221-12703 0.892859771794239 4.299901485443115 0.9630358219146729 3.0
10221-12704 1.6429905691546594 1.0565648078918457 0.1739104464650154 3.0
10221-12705 1.225242572994573 5.248885631561279 0.9996660947799683 3.0
10221-1901 nan 1.0891474485397339 0.2752915471792221 3.0
