galaxy_ID,Mb,Md,Mh_r90,Mh_2r90,Mh_3r90,M_HI,M_HII,Mtot_r90,Mtot_2r90,Mtot_3r90,NSA_Mstar,Mtot_(star_HI_Hii),M_h1,M_h2
9492-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9942730000.0,nan,nan,nan
9492-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9417460000.0,nan,nan,nan
9492-6102,32073120993.070866,4695225282408.134,3046983743.807311,5008566044.108826,6256051768.078474,nan,nan,4730345387145.013,4732306969445.313,4733554455169.283,18593200000.0,18593200000.0,1e-99,1e-99
9492-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13569100000.0,nan,nan,nan
9492-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14119300000.0,nan,nan,nan
9492-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,277681000000.0,nan,nan,nan
9492-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1831570000.0,nan,nan,nan
9493-12701,11346766364.412638,11802790920.17251,9138.11350476454,14912.81285021408,18575.641440016745,nan,nan,23149566422.698654,23149572197.398,23149575860.22659,2015850000.0,4761106951.928696,2745256951.928696,1e-99
9493-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,210392000.0,nan,nan,nan
9493-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,117590000000.0,nan,nan,nan
9493-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3030200000.0,nan,nan,nan
9493-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,823256000.0,nan,nan,nan
9493-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6621620000.0,nan,nan,nan
9493-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10765000000.0,nan,nan,nan
9493-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54661700000.0,nan,nan,nan
9493-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,714586000.0,nan,nan,nan
9493-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12648200000.0,nan,nan,nan
9493-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3647520000.0,nan,nan,nan
9493-6101,380060279087.6801,956138114922.5104,372985419954.05206,2884063592670.434,9397493358470.947,nan,nan,1709183813964.2424,4220261986680.6245,10733691752481.137,88814600000.0,88814600000.0,1e-99,1e-99
9493-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,74987300000.0,nan,nan,nan
9493-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5239900000.0,nan,nan,nan
9493-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3235630000.0,nan,nan,nan
9493-9101,2081695567946.0486,75612472933.71361,183810760919.68826,346183011370.70026,455313826664.49316,nan,nan,2341118801799.4507,2503491052250.4624,2612621867544.2554,2808510000.0,14979698820.436708,12171188820.436708,1e-99
9493-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23546900000.0,nan,nan,nan
9494-12701,2734612076.325193,1024314318268.27,6975185836.896464,49550536799.33564,147048313958.94266,nan,nan,1034024116181.4917,1076599467143.9309,1174097244303.5378,582578000.0,582578000.0,1e-99,1e-99
