galaxy_ID,smoothness,Ttype,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
10214-12701,1.123564705016121,5.626826763153076,-0.30110814057280527,0.029904499688483948,1203.7396446440534,7.4971793114216405,-2.165773858638001,32.37812220919726,0.5393448590140711,3.127117275310188,40.23584951422439,38.7151462805627,11.127546376817538,30.800670620964755
10215-12705,0.7397189472996911,2.753629207611084,0.9173619610770768,2.318303785772733,402.30368900824476,2.9374355046897227,-0.9222733230605354,81.19227816816318,0.11275851696465643,5.670510254515702,36.889637994139754,37.35111161558576,7.913441360968677,6.394315881867137
10216-6102,0.46905082962461303,2.4160406589508057,0.75638624318948,0.8137699525365995,1082.845244859724,22.717363738485275,-1.5827302882846563,999.9999784717572,0.5192429409157601,4.106985807857836,26.45264631754096,27.25466684023188,-12.840496313478978,55.30226683872441
10217-12701,0.9290390506494122,5.481154918670654,0.3002349726582793,0.41086514251051565,614.5354566437629,4.412069194658589,-1.742505717098292,26.21127611957154,0.47592850682885146,4.376772533838266,36.17142680981649,35.66613313792543,-15.514071038044447,11.654882730091364
10220-12702,1.3018624165489991,4.432612419128418,-0.5696239169023148,4.920457804935773,1295.602311094517,12.758086826638916,-6.99994958364347,13.977442616499056,0.5565453401365952,3.8653884965526415,40.666584460009304,38.59602556919624,20.359830458328666,118.53789871289189
10220-12703,1.234749343033309,5.037748336791992,0.6140598856443503,0.24520405005964807,582.4413883962824,4.98400428047882,-1.8715836990643515,999.9999984482051,0.5586846020225362,2.3972655958517795,58.92532508621846,27.99995965887283,-10.87110264146776,67.10021076842767
10220-3701,1.6257050058324185,1.9464828968048096,-6.999996819437327,9.99994039181721,68.10944014334493,29.999999357531756,-1.4755300871131891,999.940150326547,0.5413641910385494,2.9093203807391945,23.80824699094679,21.74516377534342,0.8149492193835706,9.751972828425174
10221-12702,1.30380915708155,4.212428092956543,-5.25117460570834,1.0370907708419634,188.67938337835642,2.1545051746781807,-2.6022488028554345,999.9999989559362,0.56955131318635,2.537541741734682,38.82189666704395,36.58522735175123,-5.152490202691993,3.641198353131404
10222-6103,0.8696834834302903,4.836416244506836,-6.999999741562043,3.29602898174494,697.6322432584216,5.6645813007448185,-1.8642387347038218,5.96048032693462,0.5585134634280714,3.0454318482269023,25.64703619470519,26.048869000778165,16.660640803049006,11.353535669843465
10223-6104,1.3384393767412217,4.144146919250488,-6.620735873832596,9.999982004281335,639.3522017112771,29.56405061193733,-2.0982094811824146,999.9999993209751,0.5903890160282912,2.8134049571381685,32.51935873958282,24.905933594675403,2.8252901386659377,27.336740923902827
