galaxy_ID,smoothness,Ttype,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
10001-12701,1.560186343059074,6.564641952514648,0.7334734475906906,0.495600617742431,2999.9984327418233,3.1117752687965217,-4.074551897910059,303.95456945175806,0.284735707006804,1.0618491392094238,38.084888225371515,39.50912377000486,1.9341192320907448,41.33709405653878
10001-12702,1.5619979358006435,4.730921268463135,-1.067656156082636,0.5831871321359431,373.81270749712064,22.537721793333073,-3.4453896248939624,380.8128713124981,0.5755171889210231,3.225688008056196,38.74482290398707,37.57976068487622,-3.0995486157936085,6.581584816339804
10001-12703,1.1414035570714935,4.756507873535156,0.9999991392465829,2.6137568723921922,2999.9999444691216,29.999994078793026,1.5257842592924806,1.0141099637011248,0.10768375912773877,0.9070280694611917,37.97623287776814,38.109059328886126,10.237839695420194,50.671569351821624
10001-12704,1.2909390780165348,4.773223400115967,-0.39408347805010707,1.5182976124165197,1849.756212970432,24.03794764038755,0.3317083005404561,0.10003718125627341,0.6236736480863644,1.4488724900846204,36.80262706939848,37.63929818164924,2.6388435914393655,32.955281418352634
10001-12705,1.116217114299689,4.76101016998291,0.9345642414190449,2.62857120989236,2999.9999999999545,29.89088204417188,1.546983209789875,0.9200469419323306,0.11025027507074958,5.336285793194083,37.30887790296145,36.75879075382469,-15.09701934963061,41.11414574015764
10001-1901,1.2054986454566976,1.6820045709609985,0.9999561743284001,4.999963607179884,2999.9944779759367,4.079196040107226,-2.413545291746902,945.3765058771739,0.13683849994948138,4.8420253253581,17.013300681064827,18.832209052537355,3.816145088828672,20.671430692377804
10001-3702,1.4364336310030654,0.09041932225227356,-2.256590304416171,2.187998865774712,122.82189508068792,29.932333743178198,-3.8843285587809824,432.8205052871645,0.5199860687843241,2.297406455203497,22.79146827032834,22.158630613967578,-0.9842367079475651,10.72675649321555
10001-3703,0.8464522553718801,2.792056083679199,0.9353418157990583,4.881705665453198,2999.9999444653436,2.3818227525126656,-6.99852226123715,0.10000408769059453,0.13482280844198097,3.006501930160961,31.999959653048016,21.12080820173484,-2.5358291862466156,6856.964487652577
10001-6102,0.5577817855342742,3.8936846256256104,0.8709862920939849,0.6209779649172394,2999.9999998485227,8.061516520506771,-6.999949834056379,0.100045077628082,0.51353866139164,4.089468344859808,26.17048941808824,28.331036954071568,-21.84053602762077,300.74092331338676
10213-12702,1.5817074533236228,5.753598690032959,-0.005863252768786323,0.16182137668028873,561.4783742987258,7.716789150487136,-3.8441917534395227,474.3648237313249,0.5635263831492358,3.3126903803764125,37.62045109923018,36.49192178866139,-1.2472928276224715,9.653235874190582
10213-12703,1.809667600081271,3.9895615577697754,0.6803012328090698,3.652476163536283,2999.985048207343,27.308590367781203,-6.999987659208749,0.10000002256522977,0.12101759529347317,4.90740182430154,38.06894622910747,42.48168327580244,25.362735207194795,4.986567689556957
10213-12705,0.7079952451135839,4.424635410308838,0.9999562929851464,2.293983941537702,1193.141829378592,29.99993632351988,-3.7245620121182648,0.10004507763129593,0.42690731239921104,5.369526702314925,41.68086074866295,27.000040346960006,6.361541420748342,6536.519289121042
10213-1902,0.5532390190341367,6.017599582672119,0.9999999999853975,2.784852931158835,2999.9999444653436,1.0585296738727945,1.8060002735638983,0.958397466922214,0.10883796143581444,5.273218149101237,17.66112822880447,17.03121630885849,9.048999933841245,184.75772172654055
10213-6103,1.4979538645692894,1.8603888750076294,0.9051503546857036,1.0354708198576266,1985.3730898159656,3.0581134800634,-6.999911201299292,0.10144379279764774,0.3204990399917265,3.549246261139915,26.7954580208562,28.167141896499118,-2.284922171946078,14.305570248039668
10213-9101,0.7389504591790726,3.2434632778167725,0.7521753043768443,0.37383105028195224,2641.5532166634307,12.796194790990166,-4.50518494232319,999.9934833575558,0.5693388044783669,1.0916850336934012,31.401629523158082,32.78287270589677,17.8255811305192,122.72242058993072
10213-9102,1.904940452371203,3.660907030105591,0.9163716149956028,3.0552901393899474,2726.485903313322,28.43573015120939,-5.3723079966514815,964.5375591519656,0.10073262622953116,0.00041226014856832194,41.406272501141224,37.04197530465744,22.13346722752917,19.298225473185532
10214-12701,1.123564705016121,5.626826763153076,-1.7564194819552366,4.999962141003408,863.2650345935548,12.241988441862082,-3.60154438840869,386.1886945606287,0.5698171039599057,2.98129156514267,47.999999998041424,38.43466380617061,6.283759835672444,32.665172867064115
10214-12703,1.3390716461089995,3.972017526626587,0.9964233212770304,1.8705793736663132,2850.611426009393,29.999994867181993,-2.274838304552495,803.8757677926702,0.1695768629954712,4.6833536363872055,37.102814973062415,37.24412178222967,20.165445583471723,16.401207292938842
10214-6103,0.9731062366116432,4.716429233551025,-0.21967239305065633,0.5305784338778275,0.10005518461290444,29.999965252834222,-3.8896158268735115,194.84160407498962,0.4209041557763704,2.275591062220317,28.662056358722587,25.07165591321784,2.161079768304154,3.2443978917724765
10214-6104,0.8269306891127596,4.60226583480835,0.1082217331643844,4.999959305389958,1948.0982568996913,2.33029540446384,-5.986816643501324,806.0307325941263,0.1338364025817405,6.815165365443674,24.8423811350306,19.82680838922621,-18.68205488825086,218.26168885695273
10214-9102,1.9567855677292623,1.1443276405334473,0.8287736555416751,1.172974608037564,2999.999999998029,5.124180493873188,-6.99994983672985,0.10004626350190084,0.5442664554052427,0.7061818542917117,31.596652220310435,29.52219193764435,-34.7662379318386,110.20145789454402
10215-12702,1.2239500768934417,5.747861385345459,0.9417576686498301,2.4505723485472926,2999.999944572783,19.116832076713575,1.9999465294527217,0.2320990183471797,0.1000506049474824,4.703690046594803,36.92428395046748,38.52576041267635,-5.503903854482145,18.1602395615924
10215-12703,1.0499332711830762,6.535991668701172,0.9999999999467162,0.16427081097365837,1924.8371329493425,11.345454635116871,-5.403593991391077,33.42878880010932,0.31293004566795873,1.9784788887317317,29.120871285357715,43.079292231710944,5.459141963096458,174.02004779624497
10215-12704,1.3410562540472044,0.42472001910209656,0.4950530916026311,3.1345244069187865,1807.2956160356525,9.292311357169513,1.8169535984396372,0.19503511924269418,0.27752492830180053,0.7933998433435194,39.1404997307981,36.7772540321626,2.8312048565411767,123.11247455265735
10215-12705,0.7397189472996911,2.753629207611084,0.9243596149195124,2.626692041839887,2999.999999734675,29.99996525562962,1.9293243866761713,0.34050295439189665,0.1000506049488796,5.668357364294654,36.877354884871096,37.25145503427342,7.242925251454272,6.661857844341722
10215-1901,0.7090142760613952,1.1379657983779907,0.9999561743370722,0.8193911685548675,2999.9999444653436,3.7197716811044717,0.6400619410613143,0.6124887291612999,0.14666145807116665,5.658040423644388,15.150903985353859,18.56624181181925,-8.857893301023221,42.386592374346144
10215-1902,1.101190431423097,0.4512913227081299,0.08255973265600947,3.5812011933427907,1766.3610175688448,1.3201213851595703,1.9999466629417677,0.22346730105891843,0.10005060494819212,2.8357385404986033,7.00004034696001,21.226516251552965,-15.547329935319881,133.85558672350163
10215-3701,0.6052515458087532,6.884825706481934,0.9541868389772101,1.138079630263905,0.10549160043900181,29.99998663996915,1.1060576427862585,0.33184446614433005,0.10000009323563104,1.2034726392685913,23.283552863294606,20.527229838197997,0.28159502751987137,19.04986025614017
10215-3702,0.44945942183259496,1.0823113918304443,0.4272684496422521,4.384535824817589,2999.9999444653436,4.613286491865213,-6.9999816635342835,0.10033215417880116,0.3035534490632172,6.668986901513604,12.00004034696001,16.10651704311403,-3.940665263097313,2101.4553048444113
10215-3703,0.9960246961943957,3.4099860191345215,0.005835413336120988,1.3146445895420058,1116.7278886507327,7.402285272989186,-3.8035040455985767,375.496723897907,0.7418228039375997,3.7934970446692127,22.275207816457748,21.10570522822359,23.8053096570045,48.74899099464528
10215-6104,0.6737060546875,2.796405076980591,0.07491443430948128,0.8405051246751599,792.4266533158575,24.822456496467765,-3.388217656873048,378.84226753171106,0.5997663510504452,1.9285089871416543,27.075347902360207,27.02453549142934,1.5686725496813878,333.7152354433035
10215-9101,1.8317556947188713,4.1238884925842285,-0.37486301937077005,1.7311446411067775,157.30777229166864,6.043511513722061,-6.999962512644537,0.10196085075043726,0.7832206314013598,1.4854078281689078,32.23652328485485,32.79354154538471,0.5286485777774615,2.998526561406272
10216-12701,1.5815341301915729,4.269219398498535,-1.3408138306531496,2.7384214440361894,1231.68218630172,17.66168546387692,-3.5566859836194866,495.6684678062034,0.5665061550615759,3.7877830248355364,36.25437888410255,36.766804949437365,-0.10709920516446421,62.960813913913
10216-12702,1.225241268382353,5.032038688659668,-1.0814436441282362,2.0628364724632,548.1659749755277,3.9499600702496984,-3.223051271097567,51.3806451904423,1.1989060965600817,2.3693802780247144,37.369516774282744,36.67056712702367,13.62345880895207,19.904767447074033
10216-12703,1.3692723460699479,3.962390184402466,0.5114106295845697,1.4383798230354201,529.7869516713413,23.441585840827454,-4.465194079191165,999.9980872498617,0.1000506049488796,6.129142436685018,37.73436496115122,37.128294625942615,6.792965347650113,1.9023638815733328
10216-6101,1.2576317749975625,0.5418051481246948,-0.1435061394458099,1.499516728033356,1171.6734391846765,2.4022263595916935,-6.998557506549517,0.10012211072727038,0.6371239979961252,3.173700837749014,25.582180946508057,24.959262764233646,21.046114171638525,9.839734522186992
10216-6102,0.46905082962461303,2.4160406589508057,0.7703648313063214,0.7478874960339534,2999.9847610662855,20.8118521070158,-2.9127637830766004,398.17048746775805,0.3827538430739272,4.1012657775399415,26.62330840888721,27.898781297554734,-17.550934993558734,42.45543478907565
10216-6103,1.1692234222436941,2.056966543197632,0.17092490532285512,1.4040484304801404,0.10005553465634501,29.99996525562962,-4.276483588606681,0.10009936707579936,0.7628324514574362,3.9109998994346538,27.601426345985242,27.768063275247474,-4.01579088523306,17.983264808949226
10216-6104,0.9403256135128217,4.009454250335693,0.3577548546921877,1.0079655891682577,1713.358175160225,29.999999979603277,-2.673349781196466,371.04904435975527,0.5075743452958726,3.1920989486945857,17.00004034696001,23.854804820988942,16.98472191162095,448.04748813218845
10216-9102,1.5178140625,2.420717477798462,0.20170673060105446,1.0885801621966402,557.9169027697526,17.075959092295136,-3.6788731492618676,379.1947012757997,0.7186612672467931,4.020960651242908,32.110719534183914,29.768738987917153,43.42047256647235,7.383129438561514
10217-12701,0.9290390506494122,5.481154918670654,0.282813552455917,0.893448171276213,1445.4807451579607,10.651425843430609,-4.87864612724413,994.2142971301902,0.3071885648255287,4.380877635133187,35.94598133714791,35.55024357745368,-16.458535787581376,10.62600109312619
10217-12702,1.6622529620691535,3.2511789798736572,0.9115459813875343,2.6370879730081587,2999.9999999454417,27.75115738408687,-0.4908686068496441,0.1001059581350881,0.149755828730776,5.722047280107536,30.842385663493424,39.46780502016068,-32.3050575851979,24.664719772263627
10217-12705,0.6176513305572486,4.536076068878174,-0.5052643261362614,1.9116846770322542,1778.9454053931872,3.711100120654881,-3.9819888031930146,263.2263016023901,0.4934001771421753,1.8900244601195002,37.276183172934566,36.17781871303476,3.9682379283917535,28.64969638714596
10217-3701,0.784792602218668,3.124437093734741,0.8813124307384886,2.007128123579078,2999.9999444653436,1.56867479435873,1.2902420654750022,0.10000920141843013,0.19538834085336468,5.283463214169993,23.325215319124123,21.690088106530816,53.473066277587925,46.38826085307675
10217-3704,1.3257430381408608,0.6898295879364014,0.5511411124034007,1.3806991777838407,2999.9983176321166,29.999986158353074,-6.999945326272102,0.1002572278981343,0.7459951832678119,3.343112166165124,28.811284804482572,28.05813458045433,-94.6944867424596,340.50441380840493
10218-12701,1.5581750394266822,3.498302698135376,0.5797922720745587,3.857495410791987,2999.998939890204,29.999973471156682,1.999946671328341,0.4724705654980382,0.13743824780612737,5.660196445854207,38.46963050275259,35.76574666472711,13.683954080947101,27.903842898282406
10218-12702,0.7507618623621324,2.8179469108581543,-1.1856472633939377,1.4551076177261044,286.86101154486585,4.214990142883825,-4.479486575850404,480.28229228922993,0.5703340816433414,4.122538391731959,38.70464794488006,38.548862375549554,5.115816848254942,4.656335288908665
10218-12705,1.113144301808003,6.117745876312256,0.04847895776967898,2.6951916325797622,2999.9842726501333,3.125257614805619,-1.2364715963347774,0.10542213474184735,0.10392036645928497,4.874003097826945,41.1836248403881,33.92158769041742,-1.8893433374144968,3.423417682323116
10218-1901,0.6645619789143249,0.6350544095039368,0.9999562896275753,4.999955602257866,2999.9998546083825,1.1022332295141943,1.9999466629417686,0.2234582798002993,0.10005060494894027,2.8031884275022048,6.00004034696001,18.71130829536261,-7.73205014966711,13180.549422453489
10218-3701,0.7935512113255381,4.498951435089111,0.8980655797939101,2.035209396265959,0.11850424680784633,29.999999999508034,1.871098601015728,0.4031277227325078,0.21777578791442703,1.2423712097632442,16.173724468012757,17.354295930706435,83.60981606536005,2038.1201644085659
10218-3703,0.6332248070996679,2.7643184661865234,0.9311022798799102,0.38058794378689614,0.10005553465634501,0.8112190409548639,-6.999950042074585,0.1000406546124849,1.3313598631853596,3.840467771910131,14.538612773039421,31.99995965303999,19.51825196751808,10938.052948719433
10218-3704,0.559671306221909,3.353245735168457,0.9999561743284001,0.18864220943985105,0.10005553465634501,1.4316756494617024,-6.9999498290637865,0.10004555459554519,0.40071521041364666,6.0095646737897095,28.99882564530605,12.359178516201386,14.638028391852794,9447.779418084516
10218-6102,1.1311078307578064,0.7230545282363892,0.6897986417689125,0.7728560673257147,2999.946461119573,1.1281505425967184,-6.999999999994187,0.15496403414087076,0.6525995372869389,1.6749882213538125,26.936093054689092,26.67451795260475,25.18119219498113,17.615298896412426
10218-9101,1.093471277087738,7.630819320678711,0.9999999542242778,0.450313588057922,0.10005553465634501,29.99996525562962,1.9651403059447667,0.19843971996637866,0.10090049907498201,6.4337175136463305,29.003046243490285,30.985150983518345,-9.258551304105906,40.71440429949152
10218-9102,1.2239056366743368,3.293285369873047,0.6387420338465885,0.21675277607945975,217.24581777353433,9.798721709635643,-3.4192445742145856,380.8399927700027,0.5451661416258817,2.8549459629255374,31.35996053214484,30.246591939762588,7.730621546999819,9.975341409374431
10219-12701,0.8313377886721663,5.289000511169434,-0.012242968692829283,0.31617160737725253,427.2306186338332,6.452920961399962,-3.7429916015922413,380.444993062714,0.6495384077312578,2.3114643474450793,38.28577387518936,37.07656946754345,-14.791501794691058,7.723716055068399
10219-12702,0.5891127684826696,4.509082794189453,0.9944018672194755,1.846914287749984,2514.4489270199356,29.999933451747424,1.9999465294527217,0.20307944061664107,0.1000506049488796,4.910880454113899,36.10883912122843,35.180192580167436,-9.190658928063797,11.157186114362027
10219-12703,1.315560818911593,2.430025339126587,0.17076841372829146,1.7537278805349517,666.6856759007261,5.896105154235449,-6.999756453789413,0.10003663513599903,1.1468035017974625,2.578912280442598,28.0,19.075603376240405,99.9999335625205,814.1911468858277
10219-12704,1.1951772863589305,3.255488872528076,0.9928425103223181,1.3189712253986035,1949.7741206934202,29.805435823815095,1.6948826758387985,0.32011122537689407,0.10374175443903014,0.6870067658347357,34.17519817713627,35.23899598987115,-0.8770098918487814,48.61205425926124
10219-12705,1.4965578640019481,4.725240707397461,0.8050795080131885,2.629987917158831,2999.987048599291,1.806739375600029,1.5599216935463243,0.10000000119518523,0.10732158352822915,5.546700706979664,34.845817215517165,36.59963768677409,-6.312354484884486,10.409532756980587
10219-6103,1.2437443791877196,2.894258975982666,-0.036211071798977285,1.2304974450001587,961.9049658732384,3.029018007212423,-3.411083013281695,0.17344624488546445,0.47811110814102914,2.8100268569347575,25.21945821401486,26.75311025185533,0.1500181721241517,7.395947952432718
10219-6104,0.8170741927287422,4.78114128112793,0.3431827789589148,0.1711601799675941,28.09799196603582,25.35668561678949,-3.7628211538080523,380.75628806285835,0.5054344220234526,1.6636801156439986,25.82559251580905,27.323997040579147,5.492752298764532,6.176389552986637
10219-9101,1.056512661637931,4.908839225769043,-0.6763087849755098,1.0157550911550701,45.2745865267103,29.999647199669354,-3.723959158813696,401.93281756006917,0.7114813684487626,4.181959664103058,32.119912047270155,29.03477807678946,8.144424423258023,8.750062533826673
10219-9102,0.3940953572591146,5.361542701721191,0.9294704499302149,0.49725355379216546,1500.6476035375827,29.999999996627423,-6.999949834163243,0.10004507762886464,0.5232692701403431,4.285857321852621,31.078160892030585,31.284391973650443,-17.280730909737336,91.65594949977009
10220-12701,0.9162124571600593,4.965468883514404,0.9999561746864092,3.1302017677053096,2999.999999999793,2.386113987654553,1.34125633395175,0.8293056094459464,0.12326547694365617,4.772829545857085,37.62448440205199,34.44042248429621,13.001061181548613,28.461675984982328
10220-12702,1.3018624165489991,4.432612419128418,-0.24875658738614795,4.999988344813384,30.487016992711247,29.999944220465522,-6.999949837455544,0.10004507504080996,0.4988225559917046,3.8896498370690145,37.85398819046064,36.82914207639812,14.268216956962354,119.88061521690527
10220-12703,1.234749343033309,5.037748336791992,0.10504111839076073,0.3632637705349788,332.5313953728385,12.074318574980474,-2.5132446160646595,32.734834629786896,0.5805836036843679,2.315770512583968,56.51319300423606,27.999959652677866,-10.53832855364509,66.59888724063053
10220-12704,1.3488947088068182,1.3280705213546753,0.999956207799364,4.9999449172832255,2999.9998546083825,5.458847126963981,1.9999466629417277,0.3717443556213072,0.10495699877330855,3.1764839396250455,27.000040050314254,35.521532701091026,-16.644596725538012,7590.344804095536
10220-12705,0.37678158858000554,6.422508239746094,0.8216664258533825,0.39505170046974974,932.5009114793528,12.545194554481828,-6.999932664840578,0.1000791460497999,0.768692841383653,3.758645948349333,37.039708888879005,36.90685036803923,22.52732448376712,42.32575257039209
10220-3701,1.6257050058324185,1.9464828968048096,-1.883373579234321,4.999999999999619,124.85455053115015,29.99996383258097,-5.7123798608078875,0.12275048991113119,0.7801726749375925,2.9254964013343834,23.999219985591004,20.855363064961118,4.117920352037579,10.081868396521571
10220-6103,0.6248770180346808,1.6502324342727661,0.963168565896782,1.2890126507863426,2999.9999444653436,29.987444139820667,-0.6070957860036225,125.22136603604832,0.1003081171795957,5.843000023849867,27.653182137562702,26.725252906670377,63.390788320273614,134.64270971747123
10220-6104,1.0643054683034012,1.5333963632583618,0.6005579303392493,0.7378344914735135,2982.105464267565,8.126319069119747,-1.7138595522637665,477.1549951531779,0.1779305844765178,5.6983246523187026,28.930995781298076,24.723284164540164,-0.37058146157647337,51.189087105430644
10220-9101,0.5843484477632365,2.0537734031677246,0.7142467229857506,0.8160673866878008,2999.999999970063,29.999947406097043,-6.999949834858471,0.10004507763136308,0.4262905548893556,4.197657607494357,32.38438781096271,31.676223669881647,15.880770173036927,18.7382955543094
10220-9102,0.9511340513067731,5.201833248138428,0.8457503802354117,4.999999998883536,0.1000555309132271,29.99994347226449,-6.999949857606612,0.10004507763137996,0.10004854719170013,4.811197628066299,33.4140938548498,40.99921311671031,5.133040283698278,305.44742015626287
10221-12701,1.160026429902523,3.5401875972747803,-1.276189447763357,3.80342331036373,531.8013171954228,4.047707311102114,-6.999978797290431,0.31573770553549624,1.095523429246897,1.8949174785135028,37.23768703738675,33.87333571283138,3.963639244752398,107.95912151898376
10221-12702,1.30380915708155,4.212428092956543,-0.4643806069741713,0.7600606500217184,215.00140088830184,29.99995521290139,-4.058723785391323,107.29578037236628,0.4258888762624529,2.507069792315067,36.2186676961971,38.16115504914622,-4.9673384619064285,3.180967808199011
10221-12703,0.892859771794239,4.299901485443115,0.9999560714297233,1.025867478265726,877.0160647723727,29.999999999498073,1.7143531507993084,0.16567725682213652,0.10490492710255345,4.5883206242193175,37.357565115995044,42.53925066955632,-2.111989022331993,4.429535354034651
10221-12704,1.6429905691546594,1.0565648078918457,0.9305743173060599,0.8006572226500457,2999.9999998000885,24.143815099233965,-6.999949834710613,0.10004507763137996,0.1000506049488796,4.952298477436179,36.16198396805957,37.547634431632595,3.5081794198678518,2.3519978817569296
10221-12705,1.225242572994573,5.248885631561279,-0.012950263922680885,0.28606296362538236,0.10004881138117004,29.999999999999947,-3.6316126016967076,372.97736522990607,0.5793031362854303,2.8305926916186066,34.51292834408786,37.14739885031347,-1.9343295102470097,6.106666894179524
10221-1902,0.8935757211538462,2.439246654510498,0.9979617362421669,0.13719810938363164,491.69676606036086,29.99996568775315,-3.862336038701393,374.5193634037224,1.3696837924184462,2.667348971093242,7.00005700179199,12.909499539201024,5.307713957606516,3748.015393387374
10221-3701,1.3453762248411016,1.3184163570404053,-0.21717411663349953,4.999987655804033,2999.9999996304855,6.627812281835903,1.8944939629824769,0.421855513638905,0.3220739348020178,6.828668988937691,28.49587579398856,24.85911915754588,6.644271253975991,15.644399033438162
10221-3704,1.0541622952656453,3.9187471866607666,0.9999998063861598,1.2084450106502367,2999.9999999582055,2.9591010842240415,-6.993525322411699,0.2845535107110782,0.11284127207002298,6.584523166880268,20.53358196047948,20.728949390640054,1.1351461621192076,33.036517105538536
