galaxy_ID,A,Vin,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
7443-1901,-0.45854828908891815,5.7204655855319215,17.415763959382875,29.999999997584684,-1.6803928871503675,1.3124466097919976,0.5121805790581839,4.171089690505079,18.99040527534853,15.441496268122533,15.390054483640583,12.490612515471081
7443-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-3701,-0.6922443838665067,0.4324848461571525,946.3991556474489,29.999914397333963,-0.2497254974580209,0.4897707358058626,0.46225963202310655,2.630021389962844,23.23154448930288,18.586375654264543,5.25040569537874,29.74879807277461
7443-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-3704,-0.5288868883238244,4.079435260900905,1688.8044551865194,27.06561472544357,-1.3808365083131486,1.115346420714677,0.4260114746458587,0.9449656152267258,22.607734797581436,21.79753684046418,-11.14272281372598,23.32607081733033
7443-6101,0.06555425246116468,0.27922016100978075,2052.9464178885346,1.8826146827786243,-6.999949823188604,0.10001136231323648,0.36708619514192414,1.9546259710838987,26.259751320373407,27.522268675552056,1.5218278823080367,4.2954358118009734
7443-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-6103,-0.8229722702021354,2.1626288707167163,829.7059117060215,1.6932340498033194,-6.997675209368558,1.0413658132517971,0.6422850541027959,3.5288557701882883,24.051889613190227,27.058400545626405,-14.127943085049454,85.92011373441873
7443-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-12702,-2.467403950288047,9.999987636842873,2834.1384745530527,29.999965732180033,-1.7247079387936495,14.098130604599723,0.21294655930279674,2.1241715983592195,50.395968067294156,35.228476588151494,-11.661007077453812,112.43636718604802
7443-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-12704,0.9999999077061417,1.4040141255925676,2999.9961187206177,5.285517271681637,1.2564259959226631,0.47967703752845564,0.10195395937899034,5.591609396720455,35.79325599766545,39.57778711546089,8.602924526542994,63.88815507413254
7443-12705,0.6112736366388362,1.3326862912676452,2939.5093459446016,29.999941348499117,-1.0708257777821264,26.06985477698902,0.28782889633698133,0.8341794411278611,32.58408622818963,31.931203893450387,10.848932595166078,208.238559033845
7495-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-1902,0.8567483709025838,7.7794725208468165,2999.9998546083825,0.9692014989106745,-6.999949638267136,1.186876807274757,0.10045130132478232,3.176257259746082,26.999959949685746,17.24494267223957,5.879518782783933,225.82535858170309
7495-3701,-0.7437573913105847,3.4341864272202556,1244.0676390914464,4.360728782085553,-1.9435507907966465,6.857098064031413,0.5875935056322481,2.7448277129480148,23.121185280600365,22.23112247778961,3.4194274527927853,173.33510662039004
7495-3702,-6.999903335623788,9.949103052819984,2854.006823039613,1.8169211370246265,-0.0804133272055001,0.10000000000283571,0.4693689195847939,3.706812481904791,20.58888815236095,20.694779956090496,3.97038053711723,43.50735213836623
7495-3703,-0.3242338773426749,1.205075662533125,1242.730881151022,3.3961121764975992,-1.1081098854760836,1.043345188309036,0.5090942190055933,2.4429019617419634,22.983275191417377,22.646155729602636,8.647510022630643,16.33803653163499
7495-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-6101,0.9999987168801223,0.9690199482314956,2999.9999999997126,1.256496821881026,0.8567646529606193,0.3624637421305637,0.10643786468523644,5.654205600280789,27.673952784414176,26.419180052618806,-11.538465897889687,1.4486164222025422
7495-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7495-6103,-2.9399956123703563,9.999735805399297,187.36167218316797,16.888538361568745,-1.9345069132879802,852.5930777823378,0.5766808467659976,2.8033116124528585,18.558797243459708,27.656858950667434,-1.1490989285069126,1.9303343703112827
7495-6104,-0.7962418117809044,2.339907431195858,370.88964545162554,2.61331862922605,-1.6171284058620616,1.2670218888667442,0.6116031911904862,1.5319941004916284,25.96738333609685,30.02674507135452,9.261369771241979,1.343624423469592
7495-9101,-0.10754602087750212,3.176481386569069,2999.999999810016,3.321018203936228,0.8234698313713634,0.6467050509420429,0.10006333964929466,4.2655801636947155,30.722167711810474,32.85665657906854,-13.393323253822167,2.910268331438869
7495-9102,-0.17565371445725783,0.40408203946050414,2885.0893290146837,1.865954932973303,-0.9545404771467096,7.108750637488209,0.5539268545767648,2.0115347663616503,32.242811899880856,31.116396794966526,17.311623432436527,6.920768599163497
7495-12701,0.8372346559419552,4.146530734076005,1889.011981899792,29.99998503145865,-0.43928258493003236,999.9999935552673,0.10005060482354207,5.6339760083474575,27.00006387857399,30.434899657346996,99.9999335625205,21.444483632607824
7495-12702,0.9999941303166671,2.2613158513299707,2886.974332121955,3.788853766849159,0.4647034593977211,0.10000945237522063,0.13938808131094207,6.355117990365554,35.463566851770096,33.95441082830194,-16.744377845050295,568.6522133722658
