galaxy_ID,A,Vin,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2,,,
7815-9101,0.942985425,2.941677465,0.1,29.51100643,-2.122620258,6.060496462,0.100017481,5.213308323,31.87624709,30.62957955,14.6015166,67.11182636,good,,
7815-9102,-0.044056398,2.10E-05,871.5303922,2.296410557,-1.984559141,19.52686261,0.586329397,1.363070891,30.33166802,30.82311525,6.034321632,10.0372829,good,,
7815-12701,-2.557711382,0.639189435,823.8218108,16.28908105,-0.45157338,1.287169836,0.466776902,2.870313877,37.16994568,37.77131498,-5.961717587,5.606455138,good,,
7815-12702,0.707522793,1.527387727,2999.999875,21.21383932,-0.654902002,999.7037361,0.129253367,5.020373788,35.82106291,36.78359505,-18.72806912,6.505512704,good,"8, 48, 13",
7815-12703,-6.999996198,3.342049498,30.10111862,29.99999995,-0.241530258,4.859631507,0.358858121,3.33196463,35.42170077,34.64941978,20.76389918,3.78950822,good,,
7815-12704,-0.832081811,3.042090253,2208.914916,24.57000877,-1.100702747,15.63863688,0.571996209,1.407637418,34.64962436,35.87780125,-1.705752633,312.9103402,good,,
7815-12705,0.999956293,2.790310752,187.5261467,29.99993502,1.999946663,13.28025921,0.286588812,0.655050156,45.79749801,46.99995965,-17.43136616,364664.3095,good,> 200,
7957-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-3703,-0.093555628,0.239445193,163.277152,29.99996569,-6.999949473,0.317000157,0.536616492,2.842440455,16.55451535,18.36889148,0.577909682,968.9275754,bad,"around 70 for iso and bur, high for nfw",
7957-3704,-0.31467914,2.043780034,0.1,29.99999749,1.107733628,0.508107743,0.537492159,3.019325308,13.64193655,17.96481648,35.20583483,54.32454283,good,,
7957-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-6102,0.205085614,1.139042598,2014.799287,1.820464484,1.031062779,0.402862382,0.485502121,3.727675493,25.56465422,26.07180277,2.336909824,14.32767428,good,,
7957-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7957-6104,0.58156337,4.262289736,2999.999944,7.752176206,-0.510397428,1.018714884,0.151495062,4.603130437,26.77675874,28.00508163,-12.80060477,259.1558874,good,,
7957-9101,0.273799881,4.931874559,315.9864447,29.99993337,-0.029083442,984.107628,0.121022729,5.913245272,22.00008588,37.92701398,12.99087171,70.46681453,bad,"10, 170, 881",
7957-9102,-6.999945833,4.27030555,2999.999855,13.97648263,-6.999949836,982.7864899,0.488138534,2.977191462,41.99995965,30.80424999,-22.0800593,5985.071395,bad,"133,284,60",
7957-12701,-1.794576511,0.477167417,575.3824023,2.219184096,-2.128654136,249.2200475,0.522984944,2.577611968,35.72727202,36.8145124,-2.159112763,3.765048716,good,,
7957-12702,0.882148154,1.783013212,0.14646197,30,1.168775338,2.421520078,0.100178811,5.071188101,37.37104643,40.79590548,-2.900843127,544.4754977,good,,
7957-12703,-0.060460972,2.552495463,622.9689191,11.81700696,-2.554449434,23.53526013,0.834794491,2.026635568,36.63672556,36.96655628,11.26389572,4.134271601,good,,
7957-12704,-1.046020966,0.986192576,353.8345334,6.823716406,-2.561956112,2.430629423,0.636785509,3.637301845,38.76495498,35.37615613,-0.732390038,16.07642526,good,,
7957-12705,-0.221545067,1.547750236,1063.187422,9.348913894,-1.573303969,138.5195712,0.499338797,3.731214265,33.55668547,29.55480083,15.98604297,171.6117052,good,,
7958-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7958-1902,0.017208548,3.216802541,0.108811825,20.15222191,-0.717320041,10.36176472,0.583857597,2.139041017,18.1628469,17.7026075,-6.132236112,57.28979104,good,,
7958-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7958-3702,0.408042664,1.193761994,2999.999944,26.88679668,1.310291549,1.698704184,0.199754105,5.523971953,21.52281,22.28876343,1.955470411,295.8076467,good,,
7958-3703,0.879692171,0.505656305,278.9147249,1.761282882,-6.999949835,133.051319,1.157405457,2.639963515,12.00000003,31.99995965,-4.616126794,287.0547564,bad,"6,48,6",
7958-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7958-6101,-0.224802149,1.267030633,1571.96131,8.24249162,-0.290153278,0.941945965,0.550738581,2.710928315,24.92913093,27.55723271,16.44780543,103.1760579,good,,
7958-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7958-6103,0.835649529,3.180173263,2999.999944,2.009906554,1.150237767,2.281711578,0.122809001,6.416298174,28.74393014,26.15035604,-14.01959214,9.843389197,good,,
7958-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7958-9101,0.12523223,1.023058626,0.10088088,2.029738276,-6.999949834,0.100003237,1.109803295,3.083318265,31.64694957,31.18899597,17.72307368,19.42883134,good,,
7958-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7958-12701,-3.854495562,1.226372769,708.0491109,15.14469159,-1.312009907,2.432160222,0.541659489,2.803458575,41.05248669,37.54074356,-0.2633281,20.63157779,,,
7958-12702,-0.087101836,0.497813406,308.422393,29.99982139,-1.763798138,992.6431472,0.632373538,3.212327225,38.01648941,37.70405999,6.225473519,10.02828838,good,,
7958-12703,0.791750016,2.601346883,2999.999929,23.88042681,1.16864672,1.090338729,0.137728725,6.18624838,29.99995965,38.27502607,-12.22141802,43.48209024,good,,
7958-12704,0.80281184,2.627491321,0.119139778,29.99998652,-0.768528912,5.351905973,0.103874661,5.231821519,35.21464615,31.24641766,-25.03166343,210.3173056,good,,
7958-12705,-4.162394068,3.615504114,363.5711054,5.057506318,-2.642305368,4.355810072,0.518967584,2.794724103,31.98944516,39.58004232,6.817154622,10.82457665,good,,
7960-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7960-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7960-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7960-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7960-3703,0.999956174,2.998949652,0.100055535,29.99995464,-6.999949835,972.9110277,0.100050605,2.633886432,13.83687258,26.45744198,-12.10425193,1022.716768,bad,"68,146,26",
7960-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
7960-6101,-0.701366318,0.581459735,476.0812245,30,-0.672011308,1.711489668,0.636162449,2.295800549,25.92493171,27.74114037,-0.349647994,4.381242902,good,,
7960-6102,-0.819421507,1.420534189,1229.080992,30,-0.305642728,1.387797119,0.414714162,1.480167919,26.84397964,28.94507977,-9.510036173,16.0228376,good,,
7960-6103,-4.718980024,3.516959634,135.7599026,18.13026704,-1.751559836,7.764649549,0.645607821,2.317440007,24.80485701,27.42101025,1.503431737,10.66977681,good,,
