galaxy_ID,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
9030-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9030-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9031-12701,0.953464948,1.809921292,754.0767111,29.99994544,-1.010731647,999.9949877,0.100050605,4.677437448,37.03184174,37.80322673,-0.243026725,3.565905851
9031-12702,0.318272879,0.459573075,0.100055535,29.99996526,-6.999949833,0.100045078,0.113093877,1.314604377,38.8186608,36.6015625,-4.248080319,9.006347591
9031-12703,-0.918701007,3.013540835,1115.347566,5.395268653,-1.490062992,3.377699251,0.627009103,3.375272011,38.40899027,36.22876971,19.92988067,8.387325754
9031-12704,0.497081458,0.816277148,1244.966662,3.807878559,-6.999999983,2.959245447,1.145744583,0.533090231,28.46102006,39.98733259,99.88564513,88.08949138
9031-12705,-0.583760084,4.529344374,1042.307977,28.44913892,-6.999956442,10.06945128,0.450809891,6.663094222,36.48149112,37.83932293,40.36957551,41.17068175
9031-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9031-1902,-1.821564866,9.999999055,1067.150835,14.8223662,-1.207545108,999.998445,0.589027467,3.046203539,27,16.60141544,4.005534554,32.56655186
9031-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9031-3702,-1.290880436,1.35202535,0.112192895,25.01321678,0.506104728,0.417847965,0.100050605,5.093818446,22.06337573,21.39867869,2.993842678,3.908919832
9031-3703,0.999956174,1.705497437,677.1360315,29.99995393,-1.163365802,999.993245,0.100050605,2.345695635,26.83533925,16.93208202,-2.835050186,219.8950411
9031-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9031-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9031-6102,-0.388101461,1.437329158,214.5127419,1.40916012,-7,0.985622077,0.512602154,2.762937572,27.95968956,27.09092618,9.995319518,2.387105539
9031-6103,-0.546932321,6.419228961,2330.778445,11.25316791,1.013597845,0.50334429,0.132534858,0.443113557,29.04056121,27.6937084,11.21227298,16.72747584
9031-6104,0.808770654,2.083877282,2972.297813,29.10895154,1.69315191,0.20411973,0.123123028,5.920375594,27.59573259,26.21973672,-4.81492496,59.05716167
9031-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9031-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9032-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9033-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9033-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9033-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
