galaxy_ID,r90,r_max
10001-12701,9.852487564086914,7.481593513081385
10001-12702,14.355437278747559,9.242550298167345
10001-12703,14.743389129638672,10.571897089860487
10001-12704,33.156402587890625,5.66480694692748
10001-12705,12.379983901977539,10.36668091735075
10001-1901,5.707961082458496,9.023815619149406
10001-3702,13.263102531433105,3.893336691923699
10001-3703,6.644127368927002,5.10317295694217
10001-6102,15.942649841308594,8.898322595587276
10213-12702,12.861767768859863,6.773328728418789
10213-12703,16.72977638244629,8.02457165490278
10213-12705,24.491958618164062,44.17429447340752
10213-1902,19.216617584228516,5.389624360853642
10213-6103,18.969200134277344,8.90078285050251
10213-9101,19.195798873901367,9.684834899992833
10213-9102,18.453237533569336,4.10950202703686
10214-12701,29.03072166442871,7.589369949641259
10214-12703,29.132741928100586,13.476816268100478
10214-6103,19.674102783203125,3.0192666235787553
10214-6104,17.51658821105957,6.702315515742569
10214-9102,11.332554817199707,31.33220005054512
10215-12702,10.562400817871094,9.245905652364382
10215-12703,26.41735076904297,11.569948661762384
10215-12704,25.11236572265625,7.885460501633772
10215-12705,19.45252799987793,16.543568532978966
10215-1901,7.161678791046143,1.9748948795179613
10215-1902,5.081458568572998,6.352598827757624
10215-3701,9.958691596984863,2.7816037913874787
10215-3702,15.70554256439209,4.65513806556011
10215-3703,10.887801170349121,4.877407939359076
10215-6104,9.300808906555176,13.888269987001133
10215-9101,9.281583786010742,5.901194869127912
10216-12701,13.194493293762207,6.504219768328505
10216-12702,25.586795806884766,12.860748796552949
10216-12703,14.91884994506836,8.267760750053986
10216-6101,15.727636337280273,7.12929707399721
10216-6102,16.693021774291992,7.756770537579726
10216-6103,7.835508346557617,7.23307451146955
10216-6104,22.268774032592773,21.019580053907653
10216-9102,11.307080268859863,11.689136808362454
10217-12701,15.439337730407715,11.881746977616519
10217-12702,14.59179401397705,10.102513848725472
10217-12705,21.733671188354492,11.512677734109062
10217-3701,7.6390485763549805,6.294616130804036
10217-3704,7.9390058517456055,7.694013720547952
10218-12701,11.943232536315918,9.883474483630339
10218-12702,31.446914672851562,9.028336810799647
10218-12705,24.822359085083008,4.181123628349813
10218-1901,5.63979959487915,3.3213598812350993
10218-3701,8.085277557373047,6.106872568363975
10218-3703,13.02869987487793,12.480732109584228
10218-3704,11.446887969970703,3.8796997574041034
10218-6102,13.825362205505371,4.634500108460677
10218-9101,20.132295608520508,4.239872908263424
10218-9102,17.301395416259766,2.865081266242003
10219-12701,32.53722381591797,6.64579985615364
10219-12702,17.832759857177734,5.163262688371234
10219-12703,22.121034622192383,42.42413412090231
10219-12704,-9999.0,32.179905398560386
10219-12705,24.57366943359375,5.523309184777735
10219-6103,14.104201316833496,4.2329396075262435
10219-6104,12.446319580078125,3.8392768173441096
10219-9101,14.583284378051758,4.658218369358595
10219-9102,23.16202163696289,6.488951900187089
10220-12701,24.057260513305664,4.285901254773066
10220-12702,24.273719787597656,9.675939846227596
10220-12703,17.812768936157227,7.7698301197553015
10220-12704,9.386651039123535,8.800221196798052
10220-12705,22.528318405151367,12.544559187589753
10220-3701,6.556093215942383,3.7222935466010623
10220-6103,17.158607482910156,12.81285114696985
10220-6104,12.651718139648438,7.036704930812299
10220-9101,16.819217681884766,10.59243645530325
10220-9102,17.953853607177734,3.684371301520374
10221-12701,15.424158096313477,21.6143669868506
10221-12702,41.54155731201172,5.727511105381068
10221-12703,21.0483341217041,3.9435553657686935
10221-12704,29.60074234008789,2.7376946336027457
10221-12705,26.699800491333008,4.277798353742523
10221-1902,8.911840438842773,3.5202769237047793
10221-3701,6.976042747497559,5.198549049326241
