galaxy_ID,r90,r_max
10001-12701,9.852487564086914,0.0
10001-12702,14.355437278747559,3.083821766242377e-05
10001-12703,14.743389129638672,7.258011798617733e-05
10001-12704,33.156402587890625,6.01214417248078e-05
10001-12705,12.379983901977539,0.00013877569108036093
10001-1901,5.707961082458496,0.00013524986187557633
10001-3702,13.263102531433105,7.410507326062068e-05
10001-3703,6.644127368927002,0.00012237554081921114
10001-6102,15.942649841308594,0.00024137265749170724
10213-12702,12.861767768859863,0.0002027352351485858
10213-12703,16.72977638244629,0.00020968841999261228
10213-12705,24.491958618164062,0.0008024745353080651
10213-1902,19.216617584228516,0.00022463282975004157
10213-6103,18.969200134277344,0.00037993826931528326
10213-9101,19.195798873901367,0.000231087429827003
10213-9102,18.453237533569336,0.00020662382700213771
10214-12701,29.03072166442871,0.0007086459317113452
10214-12703,29.132741928100586,0.0004163270641904919
10214-6103,19.674102783203125,0.00018479214776924663
10214-6104,17.51658821105957,0.00041488319487572293
10214-9102,11.332554817199707,0.0020928216347758533
10215-12702,10.562400817871094,0.000642017839569025
10215-12703,26.41735076904297,0.0006025353246558673
10215-12704,25.11236572265625,0.0005963601234245784
10215-12705,19.45252799987793,0.0013236226427959055
10215-1901,7.161678791046143,0.00016510040814907864
10215-1902,5.081458568572998,0.0004065526863258165
10215-3701,9.958691596984863,0.0002501470554774424
10215-3702,15.70554256439209,0.0004190805000801003
10215-3703,10.887801170349121,0.0004740486323567453
10215-6104,9.300808906555176,0.0013546352213279584
10215-9101,9.281583786010742,0.0006086937583745798
10216-12701,13.194493293762207,0.0006890620776994755
10216-12702,25.586795806884766,0.000721294810249463
10216-12703,14.91884994506836,0.0010654918480119894
10216-6101,15.727636337280273,0.0007799405467020625
10216-6102,16.693021774291992,0.0009100296862860705
10216-6103,7.835508346557617,0.0008853217875792643
10216-6104,22.268774032592773,0.001034005055760052
10216-9102,11.307080268859863,0.0015186853649843772
10217-12701,15.439337730407715,0.0015759662448654413
10217-12702,14.59179401397705,0.0014109210759098724
10217-12705,21.733671188354492,0.0015858828834725998
10217-3701,7.6390485763549805,0.0009120625493510376
10217-3704,7.9390058517456055,0.0011151461047247252
10218-12701,11.943232536315918,0.0014909576511865123
10218-12702,31.446914672851562,0.0013920206457983025
10218-12705,24.822359085083008,0.0006972179934137319
10218-1901,5.63979959487915,0.0004824150587086113
10218-3701,8.085277557373047,0.0010080522387571696
10218-3703,13.02869987487793,0.001697495958923601
10218-3704,11.446887969970703,0.000659491700863799
10218-6102,13.825362205505371,0.0007761745861058245
10218-9101,20.132295608520508,0.0007781810790366798
10218-9102,17.301395416259766,0.0005167740976770954
10219-12701,32.53722381591797,0.0012380881143170645
10219-12702,17.832759857177734,0.0009644429821166423
10219-12703,22.121034622192383,0.00753227775083806
10219-12704,-9999.0,0.0019690535668661522
10219-12705,24.57366943359375,0.0010844371530509447
10219-6103,14.104201316833496,0.000858038040340271
10219-6104,12.446319580078125,0.0007812143401110503
10219-9101,14.583284378051758,0.0009617105675986343
10219-9102,23.16202163696289,0.001407775585535655
10220-12701,24.057260513305664,0.0009118643370685773
10220-12702,24.273719787597656,0.004410640226758053
10220-12703,17.812768936157227,0.0019097237347272405
10220-12704,9.386651039123535,0.001972132731672004
10220-12705,22.528318405151367,0.0028581360979885125
10220-3701,6.556093215942383,0.0008542623474713382
10220-6103,17.158607482910156,0.00291662216903826
10220-6104,12.651718139648438,0.0016373607463216822
10220-9101,16.819217681884766,0.0021256241776871935
10220-9102,17.953853607177734,0.003110651285899405
10221-12701,15.424158096313477,0.0022566123464643974
10221-12702,41.54155731201172,0.0012735033465665023
10221-12703,21.0483341217041,0.0009950874873092227
10221-12704,29.60074234008789,0.0007092940366230725
10221-12705,26.699800491333008,0.0011125046126260008
10221-1902,8.911840438842773,0.0008909536093507477
10221-3701,6.976042747497559,0.0011951071381740598
10221-3704,6.004887104034424,0.0012702516246204413
10221-6101,13.184797286987305,0.0018011777238974894
10221-6102,8.578831672668457,0.004611008004945793
10221-6103,12.89502239227295,0.0023014288463025128
10221-6104,16.183834075927734,0.001114429903527714
10221-9101,15.517882347106934,0.0022660624510079915
10222-12701,29.959999084472656,0.0016365927795933244
10222-12702,18.999073028564453,0.007481898441086407
10222-12703,10.95050048828125,0.0014197535048616412
10222-12704,13.137179374694824,0.005272709110747584
10222-12705,14.81309986114502,0.004951298877475668
10222-3701,31.845487594604492,0.002348642748541639
10222-3704,18.94623374938965,0.013717186413073396
10222-6102,26.283321380615234,0.0012874920257799807
10222-6103,20.419166564941406,0.003033190604928462
10222-9101,9.336836814880371,0.0017650832519928855
