# %ECSV 0.9
# ---
# datatype:
# - {name: MaNGA_plate, datatype: int64}
# - {name: MaNGA_IFU, datatype: int64}
# - {name: NSAID, datatype: int64}
# - {name: ra, unit: deg, datatype: float64}
# - {name: dec, unit: deg, datatype: float64}
# - {name: redshift, datatype: float64}
# - {name: ba, datatype: float64}
# - {name: phi, unit: deg, datatype: float64}
# - {name: Mstar, unit: solMass, datatype: float64}
# - {name: rabsmag, datatype: float64}
# - {name: plate, datatype: int64}
# - {name: MJD, datatype: int64}
# - {name: fiberID, datatype: int64}
# - {name: index, datatype: int64}
# - {name: imc, datatype: float64}
# - {name: aimc, datatype: float64}
# - {name: smoothness_score, datatype: float64}
# - {name: logHI, unit: dex(solMass), datatype: float64}
# - {name: WF50, unit: km / s, datatype: float64}
# - {name: WP20, unit: km / s, datatype: float64}
# meta: !!omap
# - __serialized_columns__:
#     Mstar:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: solMass}
#       value: !astropy.table.SerializedColumn {name: Mstar}
#     WF50:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: WF50}
#     WP20:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: WP20}
#     dec:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: dec}
#     logHI:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(solMass)}
#       value: !astropy.table.SerializedColumn {name: logHI}
#     phi:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: phi}
#     ra:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: ra}
# schema: astropy-2.0
MaNGA_plate MaNGA_IFU NSAID ra dec redshift ba phi Mstar rabsmag plate MJD fiberID index imc aimc smoothness_score logHI WF50 WP20
9036 9102 262797 240.569310601 42.916899927 0.0244346 0.931277 158.87 23402600000.0 -20.7441 1334 52764 613 1003064 2.0 29.72 0.03447670872147019 nan nan nan
9036 12704 262549 240.601734639 42.7570781606 0.0399494 0.69869 21.2014 3995830000.0 -19.2252 1334 52764 17 1000641 2.0 35.98 0.6219386846065869 nan nan nan
9036 12702 262792 240.090226485 43.048708862 0.0442585 0.475946 67.0703 9442390000.0 -19.6513 1334 52764 606 1194147 2.0 21.45 0.9896614023503041 nan nan nan
9036 3704 262798 240.347024275 43.0850402916 0.0600274 0.816643 97.4228 30202800000.0 -20.862 1334 52764 615 1003049 1.0 1.0 1.9914682927731733 nan nan nan
9036 6103 262220 237.761272891 44.2742899645 0.0344536 0.508365 83.1854 1245420000.0 -18.4386 1333 52782 30 999592 2.0 157.76 0.7453269463080865 nan nan nan
9036 3702 632908 237.840393721 43.4176865196 0.0402913 0.82169 97.3783 81757200000.0 -21.9985 0 0 0 -1 -1.0 -1.0 1.9789537217881945 nan nan nan
9036 1901 221974 239.736692335 44.7643759603 0.0418354 0.716581 4.19138 48715900000.0 -21.3022 1169 52753 195 1006907 1.0 1.0 1.7948030530571604 nan nan nan
9036 12703 222013 238.948509456 44.668543326 0.03988 0.755971 80.6707 3597190000.0 -19.4347 1169 52753 268 1004882 2.0 32.83 0.7029766322544643 nan nan nan
9036 12705 222370 241.029888829 42.8084936865 0.0392702 0.571801 77.172 2877830000.0 -19.0117 1170 52756 292 1003078 2.0 42.83 0.5435674005221827 nan nan nan
7990 12705 26179 264.680317495 57.2392064632 0.0295157 0.654457 108.993 22603000000.0 -20.6115 358 51818 616 1023264 2.0 16.82 1.892492340970163 nan nan nan
7990 12703 27285 263.635157946 58.230132368 0.0113986 0.28428 115.55 971396000.0 -17.5319 366 52017 62 731157 2.0 45.12 0.6489734194598884 nan nan nan
7990 1902 688066 264.522487678 57.1181655864 0.0300503 0.750973 57.8956 19911300000.0 -20.4168 358 51818 577 1023265 2.0 21.53 0.5107080796185661 nan nan nan
7990 3701 25548 260.616380035 57.1640553041 0.030415 0.721846 91.2139 15264700000.0 -20.1228 355 51788 73 200803 1.0 1.0 1.4558437823035941 nan nan nan
7990 12702 25530 261.278551148 56.878341432 0.0283643 0.339271 20.017 14362500000.0 -19.9711 355 51788 35 203939 2.0 18.1 1.276412366024337 nan nan nan
7990 12704 27324 262.486038254 58.3974072478 0.0268193 0.591268 82.0645 18097900000.0 -20.3655 366 52017 158 1022058 2.0 22.03 0.9518004091577786 nan nan nan
