# %ECSV 0.9
# ---
# datatype:
# - {name: logM (log(M_sol)), datatype: float64}
# - {name: logM_initial (log(M_sol)), datatype: float64}
# - {name: R_disk (kpc), datatype: float64}
# - {name: R_disk_initial (kpc), datatype: float64}
# - {name: Rho_dc (M_sol/pc^3), datatype: float64}
# - {name: Rho_dc_initial (M_sol/pc^3), datatype: float64}
# - {name: R_halo (kpc), datatype: float64}
# - {name: R_halo_initial (kpcx), datatype: float64}
# schema: astropy-2.0
"logM (log(M_sol))" "logM_initial (log(M_sol))" "R_disk (kpc)" "R_disk_initial (kpc)" "Rho_dc (M_sol/pc^3)" "Rho_dc_initial (M_sol/pc^3)" "R_halo (kpc)" "R_halo_initial (kpcx)"
11.117797035287733 10.353951647911828 4.9554264000828026 0.6912622583739365 0.007499973621502635 0.0001 4.955430955177835 4.454801220632035
11.054226787738378 10.353951647911828 5.242708924485629 0.6912622583739365 0.009750839327518428 0.0001 22.198737781334625 15.74541810740633
11.363622573702282 10.353951647911828 7.958931709478408 0.6912622583739365 0.007506233940710861 0.0001 23.533745513681662 23.272496031922525
11.129335885831553 10.353951647911828 5.607552781873788 0.6912622583739365 0.006404237761990873 0.0001 27.176289143627976 27.03603499418062
11.1779402975044 10.353951647911828 5.91579236236883 0.6912622583739365 0.004952324132686244 0.0001 30.916178485703792 30.79957395643872
11.189287213968363 10.353951647911828 5.926353288077179 0.6912622583739365 0.004029764145874091 0.0001 34.65653487615922 34.563112918696824
11.394232604195437 10.353951647911828 8.213221497866966 0.6912622583739365 0.006601087919253135 0.0006210526315789474 24.825636099498833 23.272496031922525
11.148441212545116 10.353951647911828 5.718048037432406 0.6912622583739365 0.00607822388941239 0.0006210526315789474 27.83785449859933 27.03603499418062
11.170547676086159 10.353951647911828 5.837688834746102 0.6912622583739365 0.0048105735651897815 0.0006210526315789474 31.470052702522796 30.79957395643872
11.177833822497464 10.353951647911828 5.793547851895199 0.6912622583739365 0.003964976297428635 0.0006210526315789474 35.081638891658685 34.563112918696824
11.352445018118155 10.353951647911828 7.903456937164309 0.6912622583739365 0.007971668708442693 0.0011421052631578948 22.924841830219492 19.508957069664426
11.109508217271802 10.353951647911828 5.559517803532667 0.6912622583739365 0.007544085080307968 0.0011421052631578948 24.995161520171578 23.272496031922525
11.15547639440567 10.353951647911828 5.7583830159962766 0.6912622583739365 0.005835173252945287 0.0011421052631578948 28.411076107682863 27.03603499418062
11.178458784053497 10.353951647911828 5.888413000273242 0.6912622583739365 0.004679324054315303 0.0011421052631578948 31.904763505865677 30.79957395643872
11.206264393537333 10.353951647911828 6.057622188941687 0.6912622583739365 0.0038431743253027 0.0011421052631578948 35.478873581398275 34.563112918696824
11.27714628491174 10.353951647911828 7.034279103424543 0.6912622583739365 0.003921196379509384 0.0016631578947368423 23.62159682115938 19.508957069664426
11.111149901364897 10.353951647911828 5.519710050345963 0.6912622583739365 0.007208422381153496 0.0016631578947368423 25.631913715526856 23.272496031922525
11.13949569374814 10.353951647911828 5.638493271343928 0.6912622583739365 0.0057069541575066485 0.0016631578947368423 28.842610807457856 27.03603499418062
11.213160198620443 10.353951647911828 6.116927850183045 0.6912622583739365 0.0037707044785184143 0.0016631578947368423 35.81385010159182 34.563112918696824
11.295418647561373 10.353951647911828 7.228208288219677 0.6912622583739365 0.0048895894408589255 0.0021842105263157894 22.75837131296055 8.218340182890133
11.082776133120948 10.353951647911828 5.419196607951515 0.6912622583739365 0.008760977076721091 0.0021842105263157894 23.304942081185686 19.508957069664426
11.134187905251832 10.353951647911828 5.716656608903923 0.6912622583739365 0.006724539751038084 0.0021842105263157894 26.246375065292334 23.272496031922525
10.991094552699446 10.353951647911828 4.862213945810679 0.6912622583739365 0.009583227332381343 0.0021842105263157894 35.7331757833028 34.563112918696824
11.403854142247003 10.353951647911828 8.305708354216872 0.6912622583739365 0.006076112636303692 0.0027052631578947366 25.8007233416801 15.74541810740633
10.991473659471767 10.353951647911828 4.863677511231163 0.6912622583739365 0.009557531133453251 0.0027052631578947366 35.91194353801148 34.563112918696824
11.060187877288962 10.353951647911828 5.270829345152097 0.6912622583739365 0.0094754098763254 0.0032263157894736843 22.49043629555203 8.218340182890133
10.991792714315913 10.353951647911828 4.864911455934449 0.6912622583739365 0.009535909529501245 0.0032263157894736843 36.0644674606961 34.563112918696824
11.069371400211915 10.353951647911828 5.306278606586578 0.6912622583739365 0.008949459332354175 0.0037473684210526316 23.115769368269937 4.454801220632035
10.99206115368769 10.353951647911828 4.865948964458601 0.6912622583739365 0.009517718396845412 0.0037473684210526316 36.1941752008276 34.563112918696824
11.137840510493028 10.353951647911828 5.6848349403699565 0.6912622583739365 0.00643105509538928 0.004268421052631579 27.072464903655426 4.454801220632035
11.150681657635815 10.353951647911828 5.751289956929421 0.6912622583739365 0.005915334578066725 0.004268421052631579 28.230242118441023 8.218340182890133
10.992296619668672 10.353951647911828 4.866892247035782 0.6912622583739365 0.00950238314077371 0.004268421052631579 36.30394366053254 34.563112918696824
11.161674521434474 10.353951647911828 5.801105566884677 0.6912622583739365 0.005364652351564998 0.004789473684210527 29.692267014383418 4.454801220632035
11.162398289042152 10.353951647911828 5.798624632836633 0.6912622583739365 0.00526493819681778 0.004789473684210527 29.993470084593994 8.218340182890133
10.985903710412254 10.353951647911828 4.843658904788857 0.6912622583739365 0.009980756548404466 0.004789473684210527 33.102893379841426 30.79957395643872
10.992464183171911 10.353951647911828 4.867514054904594 0.6912622583739365 0.009490109420403221 0.004789473684210527 36.395940280465204 34.563112918696824
