gal_ID,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
12092-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12092-12703,0.31836624576658684,1.8296901941410295,321.78282743464854,4.736017435713138,-5.54843667654654,272.9020766324676,0.17340024821878558,3.664539670860485,36.632941475773016,36.43011040978036,-6.746389913492876,14.752138509713715
12092-12704,-0.8621116820139694,1.8128886191095397,581.9085419613998,22.71436140927464,-5.746256462907306,248.43062658826184,0.3282054608304976,1.1264339505548513,36.31524566458968,37.6419790448381,3.240334906436718,26.881427828599477
12092-12705,-6.493640040874657,0.8637716781212035,394.4483929010813,5.471588773867317,-3.7799103998862464,83.3015367171777,1.0975216560830392,6.026059006743226,40.10438133535777,37.835542920538906,0.9086804038415256,32.1003344100243
12092-1902,-2.117191971588639,1.4549319757587595,2877.8314887856864,29.360038670516268,-5.617087502070962,230.58366052596313,0.6023643755174303,5.302346792556491,20.403123767732552,14.767369275517321,23.169390572587762,12.795016765158477
12092-3704,0.046861836022230784,1.8633503443037989,131.53276838416969,19.679983824429325,-6.053272651370736,242.51654649374458,0.42316131918985683,0.3192722289910846,25.338402712158807,22.808914070681215,-16.271100645018272,49.31197607119227
12092-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12092-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12092-9101,0.28188510912187076,2.573406349430427,191.45315866485595,17.537497815248514,-6.0114232859271155,230.36240094045365,0.24251064345970866,4.165251138973962,31.722301181288984,28.03171043196056,10.897664036400784,15.985503126842394
12092-9102,-1.7338510534772522,1.7741549981734661,120.53660062650597,7.84477852791337,-6.455229904517366,206.3157563225603,0.848204356135274,3.890444347473648,31.795008138756277,31.79275421097926,16.31206160861371,95.55239262608409
12093-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12093-1902,-0.5860730018830665,1.218134885400613,1328.8980421824103,14.43272726593241,-4.005939138742154,257.6362575410547,1.1465826009944575,4.703076337367444,15.317333521121316,15.39128941598156,-7.820588554168664,-79.94685748775566
12093-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12093-9101,-0.2361067479193294,2.0790423543980907,1700.0030509671012,10.959505878786036,-5.4802030617095925,313.6264925567386,0.14520253783997714,5.798276179153737,23.414401216621176,29.32321009353678,2.943141915941296,1943.6782589754164
12094-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12094-12704,-0.39057946784328573,2.118287561906321,70.34296500991327,5.502837427188481,-6.2665405055129195,108.32619764666826,1.0579698180949177,0.1841949933689739,36.054949494888774,35.669460976808935,-5.845779990523771,12.412984643239383
12094-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12094-6101,-1.0659762240130208,1.244265837872876,1817.2732319997183,9.444844033648055,-5.943348283662587,209.5575624588753,0.3814430450128107,4.034915584318109,26.465313402015315,25.867553961153888,-12.88942619479902,723.7320263795987
12094-6102,-3.1105141645800614,1.7547861825910425,2480.305475918812,3.3736117899163043,-6.155165995385637,215.84555571243095,0.7155654506888212,0.1899398681224896,27.29273058238959,27.1093791966182,8.304288116523205,6.756469378292674
12483-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12483-12704,0.31251326215792397,0.696769407024898,2630.0707955590433,5.913586194778259,-1.378180425645742,76.18080066598692,0.21945733042269006,3.459642922227571,37.86458381601173,33.56414236251409,50.10259907948818,78.90204028578988
12483-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12483-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12483-3701,-3.8069932630664347,1.5694761120070215,1950.0073540673434,6.701029333300218,-5.787739130986853,213.6071335967932,1.1543712849233176,1.4648024771177375,21.935743082673287,22.041470641830784,16.787026194694068,87.69307351092648
12483-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12483-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12483-6104,0.19271260701732076,2.6559062925653976,163.26741617916622,18.33559971176803,-5.953558350903847,238.73223786997193,0.37341604016652935,4.315373060275486,26.726288982415763,29.19294741805014,-10.119772139467116,9.693137024654645
12483-9102,-1.5550240541948177,3.0298208721227557,1885.0123088048638,27.862327175567653,-3.9902489403113997,238.11175651361103,0.7007016606718394,4.759113751703713,27.619279041163505,35.481969068898316,4.09901648068157,143.56161274917304
12484-12702,-5.205656277388506,2.5468750672014586,1222.5606606647368,27.160910782693556,-5.686827442328608,262.6141887310178,1.2017612775688447,4.6872656101113686,38.07830952894756,49.30528628664956,4.698918532798512,54.06339257500218
12484-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12484-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12484-1901,-2.388596090092679,0.38396647043440363,1299.5409234037895,1.244144323973502,-6.498407470953234,191.56771624815585,1.1370153347372818,5.84259767842956,17.252275992758175,25.924713648725636,85.09266874339002,50.34907777327869
12484-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12484-6103,-2.337671046127454,0.8467949338247635,700.5490269697424,3.056930921000199,-3.6234682142734744,67.50982534156866,0.7912667599683386,0.7692027080957934,27.70747368914278,26.845855645126576,-21.42201353173855,15.124558675964522
12485-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12485-12703,0.8475863781838339,0.4320775023636454,1254.9544185922498,29.812970269206552,-6.080232095353159,244.84749785793787,1.3413313332815824,4.633861222138067,34.33357585074809,37.3584532701336,6.38906143668018,17.498064514645336
12485-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12485-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12485-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12485-3702,-2.630222454661509,1.0430247725017658,849.3450229930884,7.119265486732315,-4.737957133574576,205.85382839108794,0.5891822080484144,3.6354800895846524,23.502150203293613,19.91892517060064,5.110571114491477,53.030923509885916
12485-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12485-9102,-1.8002062709257047,1.5177895426709462,1081.1483903696658,6.3626248606515405,-6.151373512474011,244.23288029111973,0.5065977501095901,2.4356785347061294,32.22770277945743,30.919543445417123,17.159123603113933,274.5517096351122
12487-12701,-2.4149538090798903,2.0564520709816936,1251.3221745491394,9.392494635446122,-4.619999710015332,244.84585136304605,0.3487130912450492,6.0472160162299895,38.59196550601364,37.531890176925494,-0.3136291843874295,16.433137234799474
12487-12704,-0.6688029196663992,2.2680100027896613,107.56764431188964,16.059811726542424,-6.455410003659936,118.16711625886242,1.0831781212891132,3.2557250089801033,37.03252586653016,37.88056053031013,-3.2251322138086858,64.44058468771358
12487-3701,0.9851947339262934,0.39112972467017015,2411.952119355973,0.5783123079821121,-5.80657941113351,221.9562783365657,0.5191985019222009,4.819384959115088,25.10714045511991,23.165926410960004,48.96689090591505,8.403427949337127
12487-3702,-0.5565116516979638,2.2201020738690542,300.959995857562,12.051803565038329,-5.453969918494032,197.40447540829226,1.0118968742289245,2.8143268119002394,21.529572907160787,21.8461346415899,11.742638719536044,179.39408954786006
12487-6102,-0.7398572919443906,0.7601199568947289,401.5380643480653,19.41792868410325,-5.897693098999697,244.8647842810749,1.0084842806837264,2.849314129860737,28.159491801606304,28.26623210327319,-11.870191957022596,3.4159611479323013
12487-6103,-2.0601749316912503,0.6278090418550146,1364.7382595834808,4.7828121482462596,-4.611991886552794,292.11923820938574,0.2940799956545423,4.329971144238332,26.806841100457053,27.44820232574839,-22.682598227651535,21.83414989394483
12487-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12488-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12488-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12488-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12488-12705,-3.755998359053748,0.3061652839636284,313.70943390039537,0.5944722766201624,-3.2987123149200954,147.67980078610668,0.6869517486028885,0.24989108336079846,38.96988705762438,37.332823450762476,-9.342394361762164,3.5885115568004866
12488-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12488-1902,-0.343395027443557,1.3859589887069057,783.158092557691,9.452625914616238,-5.753132605950669,199.93260452884954,0.20017867367201214,5.340770850076083,17.16477035568862,19.66726884975936,5.2914348688452035,530.4041762554657
12488-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12488-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12488-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12489-12701,-1.3775482818088773,2.303005367469749,199.3694811847414,17.995785709304446,-5.579322415285199,235.11600455347224,1.112925624822295,4.076633713934747,37.21769665251425,36.65091670068422,5.504092020998197,4.370523912147848
12489-12702,-3.9315427792507065,0.734353102245534,800.6387275500032,1.5672781039649986,-4.201483710229081,331.43981363943664,0.31260449329020606,6.270267200614932,34.62804325462678,36.01279479325664,-1.7696017230551266,39.18357996738369
12489-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
