# %ECSV 0.9
# ---
# datatype:
# - {name: Rho_dc (M_sol/pc^3), datatype: float64}
# - {name: Rho_dc_initial (M_sol/pc^3), datatype: float64}
# - {name: R_halo (kpc), datatype: float64}
# - {name: R_halo_initial (kpc), datatype: float64}
# schema: astropy-2.0
"Rho_dc (M_sol/pc^3)" "Rho_dc_initial (M_sol/pc^3)" "R_halo (kpc)" "R_halo_initial (kpc)"
0.009778198115099451 0.0068736842105263166 34.428079757591405 34.563112918696824
0.006432906993936019 0.007394736842105264 27.078216827708566 27.03603499418062
0.009757582731120562 0.007394736842105264 34.5918072718006 34.563112918696824
0.008786794006138188 0.00791578947368421 23.325692339065295 23.272496031922525
0.006450861635345175 0.00791578947368421 27.04651727073979 27.03603499418062
0.009757689209736811 0.00791578947368421 34.587462230547466 34.563112918696824
0.008789950433116625 0.008436842105263158 23.305592139144316 23.272496031922525
0.006447107928221319 0.008436842105263158 27.051744960901406 27.03603499418062
0.009753771987425264 0.008436842105263158 34.62242766243585 34.563112918696824
0.008770367499059923 0.008957894736842106 23.31775226917217 23.272496031922525
0.006452524551073649 0.008957894736842106 27.060350988511516 27.03603499418062
0.00975147059358335 0.008957894736842106 34.63968053629488 34.563112918696824
0.00999999999999999 0.009478947368421052 21.987464847225958 15.74541810740633
0.008757883576315099 0.009478947368421052 23.335820185721357 23.272496031922525
0.006444916790460157 0.009478947368421052 27.064191275421024 27.03603499418062
0.009749143105132977 0.009478947368421052 34.65816606292761 34.563112918696824
0.008760895417976346 0.01 23.362539987974063 23.272496031922525
0.006458925848847255 0.01 27.081636491383723 27.03603499418062
0.009746470962622563 0.01 34.67784356281776 34.563112918696824
